Date,Day of Week,Event
2023-01-26,Thursday,Republic Day
2023-03-08,Wednesday,Holi
2023-03-30,Thursday,Ram Navami
2023-04-04,Tuesday,Mahavir Jayanti
2023-04-07,Friday,Good Friday
2023-04-14,Friday,Dr.Baba Saheb Ambedkar Jayanti
2023-05-01,Monday,Maharashtra Day
2023-06-28,Wednesday,Id-ul-adha (Bakri Id)
2023-08-15,Tuesday,Independence Day
2023-09-19,Tuesday,Ganesh Chaturthi
2023-10-02,Monday,Mahatma Gandhi Jayanti
2023-10-24,Tuesday,Dasara
2023-11-14,Tuesday,Diwali Balipratipada
2023-11-27,Monday,Gurunanak Jayanti
2023-12-25,Monday,Christmas
