root - INFO - 2023-02-28 09:07:52.958961 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-02-28 09:07:53.075266 - OMS Backend mainloop started.
root - INFO - 2023-02-28 09:07:55.258928 - OMSB: Logging in for backend kite ticker.
root - CRITICAL - CRITICAL ERROR:2023-02-28 09:08:42.740830 - OMSB: Failed auto login to kite ticker.
['Traceback (most recent call last):', '  File "/Users/aditya/Documents/dev/CloudAccess/CloudDownloads/OMS/Backend/Scripts/AutoLoginKiteTicker.py", line 126, in auto_login_zerodha_ticker', '    data = kite.generate_session(key, api_secret=api_secret)', '  File "/opt/homebrew/lib/python3.9/site-packages/kiteconnect/connect.py", line 258, in generate_session', '    resp = self._post("api.token", params={', '  File "/opt/homebrew/lib/python3.9/site-packages/kiteconnect/connect.py", line 841, in _post', '    return self._request(route, "POST", url_args=url_args, params=params, is_json=is_json, query_params=query_params)', '  File "/opt/homebrew/lib/python3.9/site-packages/kiteconnect/connect.py", line 913, in _request', '    raise exp(data["message"], code=r.status_code)', 'kiteconnect.exceptions.InputException: `request_token` should be minimum 10 characters in length.']
root - CRITICAL - CRITICAL ERROR:2023-02-28 09:08:43.155041 - Failed to start KWS thread.
['Traceback (most recent call last):', '  File "/Users/aditya/Documents/dev/CloudAccess/CloudDownloads/OMS/Backend/Scripts/GatherLTP.py", line 71, in start', '    self.kws.on_ticks = self.on_ticks', "AttributeError: 'NoneType' object has no attribute 'on_ticks'"]
root - INFO - 2023-02-28 09:08:43.155882 - Attempting XTS login.
root - INFO - 2023-02-28 09:08:43.372197 - ODIN login for NB01.
root - INFO - 2023-02-28 09:08:44.033555 - ODIN login succesful for NB01.
root - INFO - 2023-02-28 09:08:44.135226 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-02-28 09:08:51.933460 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-02-28 09:10:22.830068 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-02-28 09:10:22.932759 - OMS Backend mainloop started.
root - INFO - 2023-02-28 09:10:24.930744 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-02-28 09:10:33.095769 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-02-28 09:10:33.794128 - Attempting XTS login.
root - INFO - 2023-02-28 09:10:33.954206 - ODIN login for NB01.
root - INFO - 2023-02-28 09:10:34.749473 - ODIN login succesful for NB01.
root - INFO - 2023-02-28 09:10:34.856240 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-02-28 09:10:42.852300 - OMSB: Zerodha login succesful for WG5235.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
