root - INFO - 2023-05-24 09:25:39.040318 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-05-24 09:25:39.165250 - OMS Backend mainloop started.
root - INFO - 2023-05-24 09:25:40.359558 - User data obtained.
root - INFO - 2023-05-24 09:25:42.574105 - Spreads obtained.
root - INFO - 2023-05-24 09:25:42.644907 - Config file obtained.
root - INFO - 2023-05-24 09:25:42.713874 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-05-24 09:25:48.406510 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-05-24 09:25:48.477093 - Initialising LTP gather thread.
root - INFO - 2023-05-24 09:25:48.886548 - Attempting XTS login.
root - INFO - 2023-05-24 09:25:48.887749 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-05-24 09:25:48.888601 - OMSB: Zerodha login for TL9951.
root - INFO - 2023-05-24 09:25:49.036137 - BPWealth login for AHO7763.
root - INFO - 2023-05-24 09:25:49.119433 - XTS login token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySUQiOiJIREwwMDA2XzU5NUU0NzY4RTFEM0ZCNDFCNUUyODIiLCJwdWJsaWNLZXkiOiI1OTVlNDc2OGUxZDNmYjQxYjVlMjgyIiwiaWF0IjoxNjg0OTAwNTQ5LCJleHAiOjE2ODQ5ODY5NDl9.Wbd2g8eCdt3hoo__HuvN5Em_pogJSLobT0lagdIkaao.
root - INFO - 2023-05-24 09:25:49.215048 - ODIN login for NB01.
root - CRITICAL - CRITICAL ERROR:2023-05-24 09:25:49.834926 - ODIN login failed for NB01. Error: 'data'.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginOdin.py", line 48, in login', '    access_token = r["data"]["access_token"]', "KeyError: 'data'"]
root - INFO - 2023-05-24 09:25:49.898648 - ODIN login for AKV2922.
root - INFO - 2023-05-24 09:25:49.957805 - BPWealth login for AHD083.
root - INFO - 2023-05-24 09:25:50.714743 - ODIN login succesful for AKV2922.
root - INFO - 2023-05-24 09:25:50.779735 - BPWealth login for ACS1301.
root - INFO - 2023-05-24 09:25:50.791438 - ODIN login for S0201.
root - INFO - 2023-05-24 09:25:51.417560 - BPWealth login for ACS1207.
root - INFO - 2023-05-24 09:25:51.808081 - BPWealth login for AC66.
root - INFO - 2023-05-24 09:25:52.328213 - ODIN login succesful for S0201.
root - INFO - 2023-05-24 09:25:52.398640 - ODIN login for S0201.
root - INFO - 2023-05-24 09:25:53.648871 - ODIN login succesful for S0201.
root - INFO - 2023-05-24 09:25:55.276390 - OMSB: Zerodha login succesful for TL9951.
root - INFO - 2023-05-24 09:25:55.352374 - OMSB: Zerodha login for RL7826.
root - INFO - 2023-05-24 09:25:56.321888 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-05-24 09:25:56.409092 - OMSB: Zerodha login for FS3611.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - INFO - 2023-05-24 09:26:02.304091 - OMSB: Zerodha login succesful for RL7826.
root - INFO - 2023-05-24 09:26:02.376017 - OMSB: Zerodha login for YU5680.
root - INFO - 2023-05-24 09:26:02.440280 - OMSB: Zerodha login succesful for FS3611.
root - INFO - 2023-05-24 09:26:02.538819 - OMSB: Zerodha login for VR1418.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - INFO - 2023-05-24 09:26:08.335384 - OMSB: Zerodha login succesful for YU5680.
root - INFO - 2023-05-24 09:26:08.405112 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-05-24 09:26:08.646525 - OMSB: Zerodha login succesful for VR1418.
root - INFO - 2023-05-24 09:26:08.715512 - OMSB: Zerodha login for BQ1244.
root - INFO - 2023-05-24 09:26:14.568481 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-05-24 09:26:14.861503 - BPWealth login for AHO7706.
root - INFO - 2023-05-24 09:26:14.927742 - OMSB: Zerodha login succesful for BQ1244.
root - INFO - 2023-05-24 09:26:15.008402 - OMSB: Zerodha login for CJ4922.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - CRITICAL - CRITICAL ERROR:2023-05-24 09:26:26.621875 - OMSB: Failed auto login to kite for user:CJ4922.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginZerodha.py", line 119, in auto_login_zerodha', '    data = kite.generate_session(key, api_secret=api_secret)', '  File "/home/ubuntu/.local/lib/python3.10/site-packages/kiteconnect/connect.py", line 259, in generate_session', '    h = hashlib.sha256(self.api_key.encode("utf-8") + request_token.encode("utf-8") + api_secret.encode("utf-8"))', "AttributeError: 'int' object has no attribute 'encode'"]
root - INFO - 2023-05-24 09:26:26.698150 - Order handler initialised.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
