root - INFO - 2023-05-26 09:00:26.319319 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-05-26 09:00:26.388199 - OMS Backend mainloop started.
root - INFO - 2023-05-26 09:00:27.517136 - User data obtained.
root - INFO - 2023-05-26 09:00:29.700144 - Spreads obtained.
root - INFO - 2023-05-26 09:00:29.768188 - Config file obtained.
root - INFO - 2023-05-26 09:00:29.835478 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-05-26 09:00:35.592762 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-05-26 09:00:35.665928 - Initialising LTP gather thread.
root - INFO - 2023-05-26 09:00:36.072906 - Attempting XTS login.
root - INFO - 2023-05-26 09:00:36.075190 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-05-26 09:00:36.076310 - OMSB: Zerodha login for TL9951.
root - INFO - 2023-05-26 09:00:36.269506 - BPWealth login for AHO7763.
root - INFO - 2023-05-26 09:00:36.559189 - XTS login token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySUQiOiJIREwwMDA2XzU5NUU0NzY4RTFEM0ZCNDFCNUUyODIiLCJwdWJsaWNLZXkiOiI1OTVlNDc2OGUxZDNmYjQxYjVlMjgyIiwiaWF0IjoxNjg1MDcxODM2LCJleHAiOjE2ODUxNTgyMzZ9.mD-7iNHcF9xLOK4ZFpxULLcZapr9RBRqzPWVShekMgU.
root - INFO - 2023-05-26 09:00:36.628984 - ODIN login for NB01.
root - INFO - 2023-05-26 09:00:36.871021 - BPWealth login for AHD083.
root - CRITICAL - CRITICAL ERROR:2023-05-26 09:00:37.196936 - ODIN login failed for NB01. Error: 'data'.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginOdin.py", line 48, in login', '    access_token = r["data"]["access_token"]', "KeyError: 'data'"]
root - INFO - 2023-05-26 09:00:37.262298 - ODIN login for AKV2922.
root - INFO - 2023-05-26 09:00:37.769990 - BPWealth login for ACS1301.
root - INFO - 2023-05-26 09:00:37.786913 - ODIN login succesful for AKV2922.
root - INFO - 2023-05-26 09:00:37.904226 - ODIN login for S0201.
root - INFO - 2023-05-26 09:00:38.673867 - BPWealth login for ACS1207.
root - INFO - 2023-05-26 09:00:38.947215 - ODIN login succesful for S0201.
root - INFO - 2023-05-26 09:00:39.020162 - ODIN login for S0201.
root - INFO - 2023-05-26 09:00:39.057091 - BPWealth login for AC66.
root - INFO - 2023-05-26 09:00:39.710117 - ODIN login succesful for S0201.
root - INFO - 2023-05-26 09:00:42.927191 - OMSB: Zerodha login succesful for TL9951.
root - INFO - 2023-05-26 09:00:42.986352 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-05-26 09:00:42.998824 - OMSB: Zerodha login for RL7826.
root - INFO - 2023-05-26 09:00:43.061991 - OMSB: Zerodha login for FS3611.
root - INFO - 2023-05-26 09:00:49.012541 - OMSB: Zerodha login succesful for RL7826.
root - INFO - 2023-05-26 09:00:49.080315 - OMSB: Zerodha login for YU5680.
root - INFO - 2023-05-26 09:00:49.217378 - OMSB: Zerodha login succesful for FS3611.
root - INFO - 2023-05-26 09:00:49.285713 - OMSB: Zerodha login for VR1418.
root - INFO - 2023-05-26 09:00:54.992611 - OMSB: Zerodha login succesful for YU5680.
root - INFO - 2023-05-26 09:00:55.061388 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-05-26 09:00:55.278679 - OMSB: Zerodha login succesful for VR1418.
root - INFO - 2023-05-26 09:00:55.346625 - OMSB: Zerodha login for BQ1244.
root - INFO - 2023-05-26 09:01:01.036951 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-05-26 09:01:01.348301 - BPWealth login for AHO7706.
root - INFO - 2023-05-26 09:01:01.404995 - OMSB: Zerodha login succesful for BQ1244.
root - INFO - 2023-05-26 09:01:01.484116 - OMSB: Zerodha login for CJ4922.
root - CRITICAL - CRITICAL ERROR:2023-05-26 09:01:12.165541 - OMSB: Failed auto login to kite for user:CJ4922.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginZerodha.py", line 119, in auto_login_zerodha', '    data = kite.generate_session(key, api_secret=api_secret)', '  File "/home/ubuntu/.local/lib/python3.10/site-packages/kiteconnect/connect.py", line 259, in generate_session', '    h = hashlib.sha256(self.api_key.encode("utf-8") + request_token.encode("utf-8") + api_secret.encode("utf-8"))', "AttributeError: 'int' object has no attribute 'encode'"]
root - INFO - 2023-05-26 09:01:12.236017 - Order handler initialised.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
