root - INFO - 2023-05-29 09:18:32.857224 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-05-29 09:18:32.925861 - OMS Backend mainloop started.
root - INFO - 2023-05-29 09:18:34.062743 - User data obtained.
root - INFO - 2023-05-29 09:18:36.272742 - Spreads obtained.
root - INFO - 2023-05-29 09:18:36.341721 - Config file obtained.
root - INFO - 2023-05-29 09:18:36.412585 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-05-29 09:18:42.163136 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-05-29 09:18:42.234344 - Initialising LTP gather thread.
root - INFO - 2023-05-29 09:18:42.655754 - Attempting XTS login.
root - INFO - 2023-05-29 09:18:42.665461 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-05-29 09:18:42.674053 - OMSB: Zerodha login for TL9951.
root - INFO - 2023-05-29 09:18:42.787503 - XTS login token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySUQiOiJIREwwMDA2XzU5NUU0NzY4RTFEM0ZCNDFCNUUyODIiLCJwdWJsaWNLZXkiOiI1OTVlNDc2OGUxZDNmYjQxYjVlMjgyIiwiaWF0IjoxNjg1MzMyMTIyLCJleHAiOjE2ODU0MTg1MjJ9.65KUamfm2Sl0NwG7-XwUH0fFDYaKfPY3ZwqFMnY8UlI.
root - INFO - 2023-05-29 09:18:42.915647 - ODIN login for NB01.
root - INFO - 2023-05-29 09:18:42.953188 - BPWealth login for AHO7763.
root - CRITICAL - CRITICAL ERROR:2023-05-29 09:18:43.506196 - ODIN login failed for NB01. Error: 'data'.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginOdin.py", line 48, in login', '    access_token = r["data"]["access_token"]', "KeyError: 'data'"]
root - INFO - 2023-05-29 09:18:43.571178 - ODIN login for AKV2922.
root - INFO - 2023-05-29 09:18:44.534652 - ODIN login succesful for AKV2922.
root - INFO - 2023-05-29 09:18:44.539370 - BPWealth login for AHD083.
root - INFO - 2023-05-29 09:18:44.608604 - ODIN login for S0201.
root - INFO - 2023-05-29 09:18:45.240130 - BPWealth login for ACS1301.
root - INFO - 2023-05-29 09:18:45.764201 - BPWealth login for ACS1207.
root - INFO - 2023-05-29 09:18:45.792591 - ODIN login succesful for S0201.
root - INFO - 2023-05-29 09:18:45.904452 - ODIN login for S0201.
root - INFO - 2023-05-29 09:18:46.317151 - BPWealth login for AC66.
root - INFO - 2023-05-29 09:18:46.992375 - ODIN login succesful for S0201.
root - INFO - 2023-05-29 09:18:49.537003 - OMSB: Zerodha login succesful for TL9951.
root - INFO - 2023-05-29 09:18:49.609332 - OMSB: Zerodha login for RL7826.
root - INFO - 2023-05-29 09:18:50.387994 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-05-29 09:18:50.460056 - OMSB: Zerodha login for FS3611.
root - INFO - 2023-05-29 09:18:56.069789 - OMSB: Zerodha login succesful for RL7826.
root - INFO - 2023-05-29 09:18:56.148069 - OMSB: Zerodha login for YU5680.
root - INFO - 2023-05-29 09:18:56.686770 - OMSB: Zerodha login succesful for FS3611.
root - INFO - 2023-05-29 09:18:56.763769 - OMSB: Zerodha login for VR1418.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - INFO - 2023-05-29 09:19:02.268553 - OMSB: Zerodha login succesful for YU5680.
root - INFO - 2023-05-29 09:19:02.337441 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-05-29 09:19:02.855156 - OMSB: Zerodha login succesful for VR1418.
root - INFO - 2023-05-29 09:19:02.927327 - OMSB: Zerodha login for BQ1244.
root - INFO - 2023-05-29 09:19:08.389666 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-05-29 09:19:08.612919 - BPWealth login for AHO7706.
root - INFO - 2023-05-29 09:19:09.009612 - OMSB: Zerodha login succesful for BQ1244.
root - INFO - 2023-05-29 09:19:09.084941 - OMSB: Zerodha login for CJ4922.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - CRITICAL - CRITICAL ERROR:2023-05-29 09:19:19.827300 - OMSB: Failed auto login to kite for user:CJ4922.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginZerodha.py", line 119, in auto_login_zerodha', '    data = kite.generate_session(key, api_secret=api_secret)', '  File "/home/ubuntu/.local/lib/python3.10/site-packages/kiteconnect/connect.py", line 259, in generate_session', '    h = hashlib.sha256(self.api_key.encode("utf-8") + request_token.encode("utf-8") + api_secret.encode("utf-8"))', "AttributeError: 'int' object has no attribute 'encode'"]
root - INFO - 2023-05-29 09:19:19.926780 - Order handler initialised.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
