root - INFO - 2023-05-30 09:12:42.327410 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-05-30 09:12:42.399061 - OMS Backend mainloop started.
root - INFO - 2023-05-30 09:12:43.546862 - User data obtained.
root - INFO - 2023-05-30 09:12:45.761055 - Spreads obtained.
root - INFO - 2023-05-30 09:12:45.830309 - Config file obtained.
root - INFO - 2023-05-30 09:12:45.899401 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-05-30 09:12:51.689977 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-05-30 09:12:51.762249 - Initialising LTP gather thread.
root - INFO - 2023-05-30 09:12:52.180717 - Attempting XTS login.
root - INFO - 2023-05-30 09:12:52.182036 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-05-30 09:12:52.184161 - OMSB: Zerodha login for TL9951.
root - INFO - 2023-05-30 09:12:52.282145 - XTS login token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySUQiOiJIREwwMDA2XzU5NUU0NzY4RTFEM0ZCNDFCNUUyODIiLCJwdWJsaWNLZXkiOiI1OTVlNDc2OGUxZDNmYjQxYjVlMjgyIiwiaWF0IjoxNjg1NDE4MTcyLCJleHAiOjE2ODU1MDQ1NzJ9.bgS5u2oQkSLawL06PDi92s94qM8fXIYW3vW7mPCpmc4.
root - INFO - 2023-05-30 09:12:52.334248 - BPWealth login for AHO7763.
root - INFO - 2023-05-30 09:12:52.446213 - ODIN login for NB01.
root - CRITICAL - CRITICAL ERROR:2023-05-30 09:12:53.053125 - ODIN login failed for NB01. Error: 'data'.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginOdin.py", line 48, in login', '    access_token = r["data"]["access_token"]', "KeyError: 'data'"]
root - INFO - 2023-05-30 09:12:53.118281 - ODIN login for AKV2922.
root - INFO - 2023-05-30 09:12:53.369090 - BPWealth login for AHD083.
root - INFO - 2023-05-30 09:12:54.114877 - ODIN login succesful for AKV2922.
root - INFO - 2023-05-30 09:12:54.187962 - ODIN login for S0201.
root - INFO - 2023-05-30 09:12:54.566912 - BPWealth login for ACS1301.
root - INFO - 2023-05-30 09:12:55.151826 - BPWealth login for ACS1207.
root - INFO - 2023-05-30 09:12:55.355724 - ODIN login succesful for S0201.
root - INFO - 2023-05-30 09:12:55.426661 - ODIN login for S0201.
root - INFO - 2023-05-30 09:12:55.672252 - BPWealth login for AC66.
root - INFO - 2023-05-30 09:12:56.531373 - ODIN login succesful for S0201.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - INFO - 2023-05-30 09:12:59.036441 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-05-30 09:12:59.106154 - OMSB: Zerodha login for FS3611.
root - INFO - 2023-05-30 09:12:59.243846 - OMSB: Zerodha login succesful for TL9951.
root - INFO - 2023-05-30 09:12:59.313584 - OMSB: Zerodha login for RL7826.
root - INFO - 2023-05-30 09:13:05.129963 - OMSB: Zerodha login succesful for FS3611.
root - INFO - 2023-05-30 09:13:05.201841 - OMSB: Zerodha login for VR1418.
root - INFO - 2023-05-30 09:13:05.471662 - OMSB: Zerodha login succesful for RL7826.
root - INFO - 2023-05-30 09:13:05.549708 - OMSB: Zerodha login for YU5680.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - INFO - 2023-05-30 09:13:11.767641 - OMSB: Zerodha login succesful for VR1418.
root - INFO - 2023-05-30 09:13:11.844545 - OMSB: Zerodha login for BQ1244.
root - INFO - 2023-05-30 09:13:11.980263 - OMSB: Zerodha login succesful for YU5680.
root - INFO - 2023-05-30 09:13:12.060607 - OMSB: Zerodha login for WG5235.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - INFO - 2023-05-30 09:13:17.847205 - OMSB: Zerodha login succesful for BQ1244.
root - INFO - 2023-05-30 09:13:17.919544 - OMSB: Zerodha login for CJ4922.
root - INFO - 2023-05-30 09:13:18.515026 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-05-30 09:13:18.847124 - BPWealth login for AHO7706.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
root - CRITICAL - CRITICAL ERROR:2023-05-30 09:13:28.854282 - OMSB: Failed auto login to kite for user:CJ4922.
