root - INFO - 2023-06-07 09:05:27.181143 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-06-07 09:05:27.250065 - OMS Backend mainloop started.
root - INFO - 2023-06-07 09:05:28.379422 - User data obtained.
root - INFO - 2023-06-07 09:05:30.566665 - Spreads obtained.
root - INFO - 2023-06-07 09:05:30.636214 - Config file obtained.
root - INFO - 2023-06-07 09:05:30.704699 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-06-07 09:05:36.508362 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-06-07 09:05:36.580680 - Initialising LTP gather thread.
root - INFO - 2023-06-07 09:05:36.986901 - Attempting XTS login.
root - INFO - 2023-06-07 09:05:36.988592 - OMSB: Zerodha login for TL9951.
root - INFO - 2023-06-07 09:05:36.998717 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-06-07 09:05:37.099104 - XTS login token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySUQiOiJIREwwMDA2XzU5NUU0NzY4RTFEM0ZCNDFCNUUyODIiLCJwdWJsaWNLZXkiOiI1OTVlNDc2OGUxZDNmYjQxYjVlMjgyIiwiaWF0IjoxNjg2MTA4OTM3LCJleHAiOjE2ODYxOTUzMzd9.OL65wDI5SknBlZEZmeHqghRzNxl6Cc72OCKfPWbVNP8.
root - INFO - 2023-06-07 09:05:37.160314 - BPWealth login for AHO7763.
root - INFO - 2023-06-07 09:05:37.260095 - ODIN login for NB01.
root - INFO - 2023-06-07 09:05:37.726486 - BPWealth login for AHD083.
root - CRITICAL - CRITICAL ERROR:2023-06-07 09:05:37.817726 - ODIN login failed for NB01. Error: 'data'.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginOdin.py", line 48, in login', '    access_token = r["data"]["access_token"]', "KeyError: 'data'"]
root - INFO - 2023-06-07 09:05:37.884807 - ODIN login for AKV2922.
root - INFO - 2023-06-07 09:05:38.714914 - BPWealth login for ACS1301.
root - INFO - 2023-06-07 09:05:38.746716 - ODIN login succesful for AKV2922.
root - INFO - 2023-06-07 09:05:38.857338 - ODIN login for S0201.
root - INFO - 2023-06-07 09:05:39.564282 - BPWealth login for ACS1207.
root - INFO - 2023-06-07 09:05:39.737806 - ODIN login succesful for S0201.
root - INFO - 2023-06-07 09:05:39.812535 - ODIN login for S0201.
root - INFO - 2023-06-07 09:05:40.010062 - BPWealth login for AC66.
root - INFO - 2023-06-07 09:05:40.853243 - ODIN login succesful for S0201.
root - INFO - 2023-06-07 09:05:43.994820 - OMSB: Zerodha login succesful for TL9951.
root - INFO - 2023-06-07 09:05:44.028262 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-06-07 09:05:44.068530 - OMSB: Zerodha login for RL7826.
root - INFO - 2023-06-07 09:05:44.133222 - OMSB: Zerodha login for FS3611.
root - INFO - 2023-06-07 09:05:50.090239 - OMSB: Zerodha login succesful for RL7826.
root - INFO - 2023-06-07 09:05:50.160824 - OMSB: Zerodha login for YU5680.
root - INFO - 2023-06-07 09:05:50.307492 - OMSB: Zerodha login succesful for FS3611.
root - INFO - 2023-06-07 09:05:50.385995 - OMSB: Zerodha login for VR1418.
root - INFO - 2023-06-07 09:05:56.123223 - OMSB: Zerodha login succesful for YU5680.
root - INFO - 2023-06-07 09:05:56.193875 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-06-07 09:05:56.345969 - OMSB: Zerodha login succesful for VR1418.
root - INFO - 2023-06-07 09:05:56.415745 - OMSB: Zerodha login for BQ1244.
root - INFO - 2023-06-07 09:06:02.220968 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-06-07 09:06:02.515232 - OMSB: Zerodha login succesful for BQ1244.
root - INFO - 2023-06-07 09:06:02.554376 - BPWealth login for AHO7706.
root - INFO - 2023-06-07 09:06:02.588779 - OMSB: Zerodha login for CJ4922.
root - CRITICAL - CRITICAL ERROR:2023-06-07 09:06:14.338270 - OMSB: Failed auto login to kite for user:CJ4922.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginZerodha.py", line 119, in auto_login_zerodha', '    data = kite.generate_session(key, api_secret=api_secret)', '  File "/home/ubuntu/.local/lib/python3.10/site-packages/kiteconnect/connect.py", line 259, in generate_session', '    h = hashlib.sha256(self.api_key.encode("utf-8") + request_token.encode("utf-8") + api_secret.encode("utf-8"))', "AttributeError: 'int' object has no attribute 'encode'"]
root - INFO - 2023-06-07 09:06:14.407905 - Order handler initialised.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
