root - INFO - 2023-06-12 09:10:11.221380 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-06-12 09:10:11.291286 - OMS Backend mainloop started.
root - INFO - 2023-06-12 09:10:12.420016 - User data obtained.
root - INFO - 2023-06-12 09:10:14.597138 - Spreads obtained.
root - INFO - 2023-06-12 09:10:14.667173 - Config file obtained.
root - INFO - 2023-06-12 09:10:14.736625 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-06-12 09:10:20.552012 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-06-12 09:10:20.624993 - Initialising LTP gather thread.
root - INFO - 2023-06-12 09:10:21.039938 - Attempting XTS login.
root - INFO - 2023-06-12 09:10:21.041228 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-06-12 09:10:21.043572 - OMSB: Zerodha login for TL9951.
root - INFO - 2023-06-12 09:10:21.151162 - XTS login token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySUQiOiJIREwwMDA2XzU5NUU0NzY4RTFEM0ZCNDFCNUUyODIiLCJwdWJsaWNLZXkiOiI1OTVlNDc2OGUxZDNmYjQxYjVlMjgyIiwiaWF0IjoxNjg2NTQxMjIxLCJleHAiOjE2ODY2Mjc2MjF9.D6xqC4BpCwFLhfqn7feweQo1PoKT08h0Zw3itf0t7LU.
root - INFO - 2023-06-12 09:10:21.211013 - BPWealth login for AHO7763.
root - INFO - 2023-06-12 09:10:21.309013 - ODIN login for NB01.
root - INFO - 2023-06-12 09:10:21.764941 - BPWealth login for AHD083.
root - CRITICAL - CRITICAL ERROR:2023-06-12 09:10:22.009203 - ODIN login failed for NB01. Error: 'data'.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginOdin.py", line 48, in login', '    access_token = r["data"]["access_token"]', "KeyError: 'data'"]
root - INFO - 2023-06-12 09:10:22.076376 - ODIN login for AKV2922.
root - INFO - 2023-06-12 09:10:22.816108 - BPWealth login for ACS1301.
root - INFO - 2023-06-12 09:10:22.974256 - ODIN login succesful for AKV2922.
root - INFO - 2023-06-12 09:10:23.067132 - ODIN login for S0201.
root - INFO - 2023-06-12 09:10:23.507785 - BPWealth login for ACS1207.
root - INFO - 2023-06-12 09:10:23.651068 - ODIN login succesful for S0201.
root - INFO - 2023-06-12 09:10:23.728021 - ODIN login for S0201.
root - INFO - 2023-06-12 09:10:23.998877 - BPWealth login for AC66.
root - INFO - 2023-06-12 09:10:24.407142 - ODIN login succesful for S0201.
root - INFO - 2023-06-12 09:10:28.091929 - OMSB: Zerodha login succesful for TL9951.
root - INFO - 2023-06-12 09:10:28.163353 - OMSB: Zerodha login for RL7826.
root - INFO - 2023-06-12 09:10:28.294436 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-06-12 09:10:28.364339 - OMSB: Zerodha login for FS3611.
root - INFO - 2023-06-12 09:10:34.209721 - OMSB: Zerodha login succesful for RL7826.
root - INFO - 2023-06-12 09:10:34.281037 - OMSB: Zerodha login for YU5680.
root - INFO - 2023-06-12 09:10:34.495259 - OMSB: Zerodha login succesful for FS3611.
root - INFO - 2023-06-12 09:10:34.565824 - OMSB: Zerodha login for VR1418.
root - INFO - 2023-06-12 09:10:41.354715 - OMSB: Zerodha login succesful for YU5680.
root - INFO - 2023-06-12 09:10:41.425450 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-06-12 09:10:41.580705 - OMSB: Zerodha login succesful for VR1418.
root - INFO - 2023-06-12 09:10:41.651732 - OMSB: Zerodha login for BQ1244.
root - INFO - 2023-06-12 09:10:47.395860 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-06-12 09:10:47.622553 - BPWealth login for AHO7706.
root - INFO - 2023-06-12 09:10:47.720841 - OMSB: Zerodha login succesful for BQ1244.
root - INFO - 2023-06-12 09:10:47.792634 - OMSB: Zerodha login for CJ4922.
root - CRITICAL - CRITICAL ERROR:2023-06-12 09:10:58.516986 - OMSB: Failed auto login to kite for user:CJ4922.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginZerodha.py", line 119, in auto_login_zerodha', '    data = kite.generate_session(key, api_secret=api_secret)', '  File "/home/ubuntu/.local/lib/python3.10/site-packages/kiteconnect/connect.py", line 259, in generate_session', '    h = hashlib.sha256(self.api_key.encode("utf-8") + request_token.encode("utf-8") + api_secret.encode("utf-8"))', "AttributeError: 'int' object has no attribute 'encode'"]
root - INFO - 2023-06-12 09:10:58.588338 - Order handler initialised.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
