,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,13256962,51785,BANKNIFTY23JUN39700CE,BANKNIFTY,0.0,2023-06-29,39700.0,0.05,25,CE,NFO-OPT,NFO
1,13257474,51787,BANKNIFTY23JUN39800CE,BANKNIFTY,0.0,2023-06-29,39800.0,0.05,25,CE,NFO-OPT,NFO
2,13263106,51809,BANKNIFTY23JUN39900CE,BANKNIFTY,0.0,2023-06-29,39900.0,0.05,25,CE,NFO-OPT,NFO
3,13263874,51812,BANKNIFTY23JUN40000CE,BANKNIFTY,0.0,2023-06-29,40000.0,0.05,25,CE,NFO-OPT,NFO
4,13267458,51826,BANKNIFTY23JUN40100CE,BANKNIFTY,0.0,2023-06-29,40100.0,0.05,25,CE,NFO-OPT,NFO
5,13268482,51830,BANKNIFTY23JUN40200CE,BANKNIFTY,0.0,2023-06-29,40200.0,0.05,25,CE,NFO-OPT,NFO
6,13270786,51839,BANKNIFTY23JUN40300CE,BANKNIFTY,0.0,2023-06-29,40300.0,0.05,25,CE,NFO-OPT,NFO
7,13272578,51846,BANKNIFTY23JUN40400CE,BANKNIFTY,0.0,2023-06-29,40400.0,0.05,25,CE,NFO-OPT,NFO
8,14425602,56350,BANKNIFTY23JUN40500CE,BANKNIFTY,0.0,2023-06-29,40500.0,0.05,25,CE,NFO-OPT,NFO
9,13273858,51851,BANKNIFTY23JUN40600CE,BANKNIFTY,0.0,2023-06-29,40600.0,0.05,25,CE,NFO-OPT,NFO
10,13275138,51856,BANKNIFTY23JUN40700CE,BANKNIFTY,0.0,2023-06-29,40700.0,0.05,25,CE,NFO-OPT,NFO
11,13277954,51867,BANKNIFTY23JUN40800CE,BANKNIFTY,0.0,2023-06-29,40800.0,0.05,25,CE,NFO-OPT,NFO
12,13280002,51875,BANKNIFTY23JUN40900CE,BANKNIFTY,0.0,2023-06-29,40900.0,0.05,25,CE,NFO-OPT,NFO
13,13281538,51881,BANKNIFTY23JUN41000CE,BANKNIFTY,0.0,2023-06-29,41000.0,0.05,25,CE,NFO-OPT,NFO
14,13282050,51883,BANKNIFTY23JUN41100CE,BANKNIFTY,0.0,2023-06-29,41100.0,0.05,25,CE,NFO-OPT,NFO
15,13282818,51886,BANKNIFTY23JUN41200CE,BANKNIFTY,0.0,2023-06-29,41200.0,0.05,25,CE,NFO-OPT,NFO
16,13284354,51892,BANKNIFTY23JUN41300CE,BANKNIFTY,0.0,2023-06-29,41300.0,0.05,25,CE,NFO-OPT,NFO
17,13285122,51895,BANKNIFTY23JUN41400CE,BANKNIFTY,0.0,2023-06-29,41400.0,0.05,25,CE,NFO-OPT,NFO
18,13289986,51914,BANKNIFTY23JUN41500CE,BANKNIFTY,0.0,2023-06-29,41500.0,0.05,25,CE,NFO-OPT,NFO
19,13290498,51916,BANKNIFTY23JUN41600CE,BANKNIFTY,0.0,2023-06-29,41600.0,0.05,25,CE,NFO-OPT,NFO
20,13291010,51918,BANKNIFTY23JUN41700CE,BANKNIFTY,0.0,2023-06-29,41700.0,0.05,25,CE,NFO-OPT,NFO
21,13291522,51920,BANKNIFTY23JUN41800CE,BANKNIFTY,0.0,2023-06-29,41800.0,0.05,25,CE,NFO-OPT,NFO
22,13292802,51925,BANKNIFTY23JUN41900CE,BANKNIFTY,0.0,2023-06-29,41900.0,0.05,25,CE,NFO-OPT,NFO
23,14426114,56352,BANKNIFTY23JUN42000CE,BANKNIFTY,0.0,2023-06-29,42000.0,0.05,25,CE,NFO-OPT,NFO
24,13293826,51929,BANKNIFTY23JUN42100CE,BANKNIFTY,0.0,2023-06-29,42100.0,0.05,25,CE,NFO-OPT,NFO
25,13294850,51933,BANKNIFTY23JUN42200CE,BANKNIFTY,0.0,2023-06-29,42200.0,0.05,25,CE,NFO-OPT,NFO
26,13295618,51936,BANKNIFTY23JUN42300CE,BANKNIFTY,0.0,2023-06-29,42300.0,0.05,25,CE,NFO-OPT,NFO
27,13296386,51939,BANKNIFTY23JUN42400CE,BANKNIFTY,0.0,2023-06-29,42400.0,0.05,25,CE,NFO-OPT,NFO
28,13298946,51949,BANKNIFTY23JUN42500CE,BANKNIFTY,0.0,2023-06-29,42500.0,0.05,25,CE,NFO-OPT,NFO
29,13300482,51955,BANKNIFTY23JUN42600CE,BANKNIFTY,0.0,2023-06-29,42600.0,0.05,25,CE,NFO-OPT,NFO
30,13300994,51957,BANKNIFTY23JUN42700CE,BANKNIFTY,0.0,2023-06-29,42700.0,0.05,25,CE,NFO-OPT,NFO
31,13302530,51963,BANKNIFTY23JUN42800CE,BANKNIFTY,0.0,2023-06-29,42800.0,0.05,25,CE,NFO-OPT,NFO
32,13303042,51965,BANKNIFTY23JUN42900CE,BANKNIFTY,0.0,2023-06-29,42900.0,0.05,25,CE,NFO-OPT,NFO
33,13304066,51969,BANKNIFTY23JUN43000CE,BANKNIFTY,0.0,2023-06-29,43000.0,0.05,25,CE,NFO-OPT,NFO
34,13304578,51971,BANKNIFTY23JUN43100CE,BANKNIFTY,0.0,2023-06-29,43100.0,0.05,25,CE,NFO-OPT,NFO
35,13306114,51977,BANKNIFTY23JUN43200CE,BANKNIFTY,0.0,2023-06-29,43200.0,0.05,25,CE,NFO-OPT,NFO
36,13309186,51989,BANKNIFTY23JUN43300CE,BANKNIFTY,0.0,2023-06-29,43300.0,0.05,25,CE,NFO-OPT,NFO
37,13309698,51991,BANKNIFTY23JUN43400CE,BANKNIFTY,0.0,2023-06-29,43400.0,0.05,25,CE,NFO-OPT,NFO
38,14427138,56356,BANKNIFTY23JUN43500CE,BANKNIFTY,0.0,2023-06-29,43500.0,0.05,25,CE,NFO-OPT,NFO
39,13311746,51999,BANKNIFTY23JUN43600CE,BANKNIFTY,0.0,2023-06-29,43600.0,0.05,25,CE,NFO-OPT,NFO
40,13314562,52010,BANKNIFTY23JUN43700CE,BANKNIFTY,0.0,2023-06-29,43700.0,0.05,25,CE,NFO-OPT,NFO
41,13316098,52016,BANKNIFTY23JUN43800CE,BANKNIFTY,0.0,2023-06-29,43800.0,0.05,25,CE,NFO-OPT,NFO
42,13317378,52021,BANKNIFTY23JUN43900CE,BANKNIFTY,0.0,2023-06-29,43900.0,0.05,25,CE,NFO-OPT,NFO
43,13321986,52039,BANKNIFTY23JUN44000CE,BANKNIFTY,0.0,2023-06-29,44000.0,0.05,25,CE,NFO-OPT,NFO
44,13324290,52048,BANKNIFTY23JUN44100CE,BANKNIFTY,0.0,2023-06-29,44100.0,0.05,25,CE,NFO-OPT,NFO
45,13324802,52050,BANKNIFTY23JUN44200CE,BANKNIFTY,0.0,2023-06-29,44200.0,0.05,25,CE,NFO-OPT,NFO
46,13325570,52053,BANKNIFTY23JUN44300CE,BANKNIFTY,0.0,2023-06-29,44300.0,0.05,25,CE,NFO-OPT,NFO
47,13326338,52056,BANKNIFTY23JUN44400CE,BANKNIFTY,0.0,2023-06-29,44400.0,0.05,25,CE,NFO-OPT,NFO
48,13326850,52058,BANKNIFTY23JUN44500CE,BANKNIFTY,0.0,2023-06-29,44500.0,0.05,25,CE,NFO-OPT,NFO
49,13327362,52060,BANKNIFTY23JUN44600CE,BANKNIFTY,0.0,2023-06-29,44600.0,0.05,25,CE,NFO-OPT,NFO
50,13328642,52065,BANKNIFTY23JUN44700CE,BANKNIFTY,0.0,2023-06-29,44700.0,0.05,25,CE,NFO-OPT,NFO
51,13329154,52067,BANKNIFTY23JUN44800CE,BANKNIFTY,0.0,2023-06-29,44800.0,0.05,25,CE,NFO-OPT,NFO
52,13329922,52070,BANKNIFTY23JUN44900CE,BANKNIFTY,0.0,2023-06-29,44900.0,0.05,25,CE,NFO-OPT,NFO
53,14427650,56358,BANKNIFTY23JUN45000CE,BANKNIFTY,0.0,2023-06-29,45000.0,0.05,25,CE,NFO-OPT,NFO
54,8981250,35083,BANKNIFTY23JUN45100CE,BANKNIFTY,0.0,2023-06-29,45100.0,0.05,25,CE,NFO-OPT,NFO
55,8982274,35087,BANKNIFTY23JUN45200CE,BANKNIFTY,0.0,2023-06-29,45200.0,0.05,25,CE,NFO-OPT,NFO
56,8988162,35110,BANKNIFTY23JUN45300CE,BANKNIFTY,0.0,2023-06-29,45300.0,0.05,25,CE,NFO-OPT,NFO
57,8988674,35112,BANKNIFTY23JUN45400CE,BANKNIFTY,0.0,2023-06-29,45400.0,0.05,25,CE,NFO-OPT,NFO
58,13330434,52072,BANKNIFTY23JUN45500CE,BANKNIFTY,0.0,2023-06-29,45500.0,0.05,25,CE,NFO-OPT,NFO
59,8991490,35123,BANKNIFTY23JUN45600CE,BANKNIFTY,0.0,2023-06-29,45600.0,0.05,25,CE,NFO-OPT,NFO
60,9408258,36751,BANKNIFTY23JUN45700CE,BANKNIFTY,0.0,2023-06-29,45700.0,0.05,25,CE,NFO-OPT,NFO
61,9408770,36753,BANKNIFTY23JUN45800CE,BANKNIFTY,0.0,2023-06-29,45800.0,0.05,25,CE,NFO-OPT,NFO
62,9502466,37119,BANKNIFTY23JUN45900CE,BANKNIFTY,0.0,2023-06-29,45900.0,0.05,25,CE,NFO-OPT,NFO
63,13330946,52074,BANKNIFTY23JUN46000CE,BANKNIFTY,0.0,2023-06-29,46000.0,0.05,25,CE,NFO-OPT,NFO
64,10943746,42749,BANKNIFTY23JUN46100CE,BANKNIFTY,0.0,2023-06-29,46100.0,0.05,25,CE,NFO-OPT,NFO
65,10953474,42787,BANKNIFTY23JUN46200CE,BANKNIFTY,0.0,2023-06-29,46200.0,0.05,25,CE,NFO-OPT,NFO
66,10958082,42805,BANKNIFTY23JUN46300CE,BANKNIFTY,0.0,2023-06-29,46300.0,0.05,25,CE,NFO-OPT,NFO
67,10959618,42811,BANKNIFTY23JUN46400CE,BANKNIFTY,0.0,2023-06-29,46400.0,0.05,25,CE,NFO-OPT,NFO
68,14428162,56360,BANKNIFTY23JUN46500CE,BANKNIFTY,0.0,2023-06-29,46500.0,0.05,25,CE,NFO-OPT,NFO
69,9129730,35663,BANKNIFTY23JUN46600CE,BANKNIFTY,0.0,2023-06-29,46600.0,0.05,25,CE,NFO-OPT,NFO
70,13331458,52076,BANKNIFTY23JUN47000CE,BANKNIFTY,0.0,2023-06-29,47000.0,0.05,25,CE,NFO-OPT,NFO
71,13331970,52078,BANKNIFTY23JUN47500CE,BANKNIFTY,0.0,2023-06-29,47500.0,0.05,25,CE,NFO-OPT,NFO
72,14429186,56364,BANKNIFTY23JUN48000CE,BANKNIFTY,0.0,2023-06-29,48000.0,0.05,25,CE,NFO-OPT,NFO
