,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14182658,55401,BANKNIFTY23JAN38900PE,BANKNIFTY,0.0,2023-01-25,38900.0,0.05,25,PE,NFO-OPT,NFO
1,14183426,55404,BANKNIFTY23JAN39000PE,BANKNIFTY,0.0,2023-01-25,39000.0,0.05,25,PE,NFO-OPT,NFO
2,14186754,55417,BANKNIFTY23JAN39100PE,BANKNIFTY,0.0,2023-01-25,39100.0,0.05,25,PE,NFO-OPT,NFO
3,14187266,55419,BANKNIFTY23JAN39200PE,BANKNIFTY,0.0,2023-01-25,39200.0,0.05,25,PE,NFO-OPT,NFO
4,14187778,55421,BANKNIFTY23JAN39300PE,BANKNIFTY,0.0,2023-01-25,39300.0,0.05,25,PE,NFO-OPT,NFO
5,14188290,55423,BANKNIFTY23JAN39400PE,BANKNIFTY,0.0,2023-01-25,39400.0,0.05,25,PE,NFO-OPT,NFO
6,14188802,55425,BANKNIFTY23JAN39500PE,BANKNIFTY,0.0,2023-01-25,39500.0,0.05,25,PE,NFO-OPT,NFO
7,14189314,55427,BANKNIFTY23JAN39600PE,BANKNIFTY,0.0,2023-01-25,39600.0,0.05,25,PE,NFO-OPT,NFO
8,14189826,55429,BANKNIFTY23JAN39700PE,BANKNIFTY,0.0,2023-01-25,39700.0,0.05,25,PE,NFO-OPT,NFO
9,14190338,55431,BANKNIFTY23JAN39800PE,BANKNIFTY,0.0,2023-01-25,39800.0,0.05,25,PE,NFO-OPT,NFO
10,14190850,55433,BANKNIFTY23JAN39900PE,BANKNIFTY,0.0,2023-01-25,39900.0,0.05,25,PE,NFO-OPT,NFO
11,14191362,55435,BANKNIFTY23JAN40000PE,BANKNIFTY,0.0,2023-01-25,40000.0,0.05,25,PE,NFO-OPT,NFO
12,14192898,55441,BANKNIFTY23JAN40100PE,BANKNIFTY,0.0,2023-01-25,40100.0,0.05,25,PE,NFO-OPT,NFO
13,14193410,55443,BANKNIFTY23JAN40200PE,BANKNIFTY,0.0,2023-01-25,40200.0,0.05,25,PE,NFO-OPT,NFO
14,14193922,55445,BANKNIFTY23JAN40300PE,BANKNIFTY,0.0,2023-01-25,40300.0,0.05,25,PE,NFO-OPT,NFO
15,14194434,55447,BANKNIFTY23JAN40400PE,BANKNIFTY,0.0,2023-01-25,40400.0,0.05,25,PE,NFO-OPT,NFO
16,14196226,55454,BANKNIFTY23JAN40500PE,BANKNIFTY,0.0,2023-01-25,40500.0,0.05,25,PE,NFO-OPT,NFO
17,14196738,55456,BANKNIFTY23JAN40600PE,BANKNIFTY,0.0,2023-01-25,40600.0,0.05,25,PE,NFO-OPT,NFO
18,14197506,55459,BANKNIFTY23JAN40700PE,BANKNIFTY,0.0,2023-01-25,40700.0,0.05,25,PE,NFO-OPT,NFO
19,14198018,55461,BANKNIFTY23JAN40800PE,BANKNIFTY,0.0,2023-01-25,40800.0,0.05,25,PE,NFO-OPT,NFO
20,14198530,55463,BANKNIFTY23JAN40900PE,BANKNIFTY,0.0,2023-01-25,40900.0,0.05,25,PE,NFO-OPT,NFO
21,14199042,55465,BANKNIFTY23JAN41000PE,BANKNIFTY,0.0,2023-01-25,41000.0,0.05,25,PE,NFO-OPT,NFO
22,14199554,55467,BANKNIFTY23JAN41100PE,BANKNIFTY,0.0,2023-01-25,41100.0,0.05,25,PE,NFO-OPT,NFO
23,14200066,55469,BANKNIFTY23JAN41200PE,BANKNIFTY,0.0,2023-01-25,41200.0,0.05,25,PE,NFO-OPT,NFO
24,14201602,55475,BANKNIFTY23JAN41300PE,BANKNIFTY,0.0,2023-01-25,41300.0,0.05,25,PE,NFO-OPT,NFO
25,14202114,55477,BANKNIFTY23JAN41400PE,BANKNIFTY,0.0,2023-01-25,41400.0,0.05,25,PE,NFO-OPT,NFO
26,14202882,55480,BANKNIFTY23JAN41500PE,BANKNIFTY,0.0,2023-01-25,41500.0,0.05,25,PE,NFO-OPT,NFO
27,14206210,55493,BANKNIFTY23JAN41600PE,BANKNIFTY,0.0,2023-01-25,41600.0,0.05,25,PE,NFO-OPT,NFO
28,14206722,55495,BANKNIFTY23JAN41700PE,BANKNIFTY,0.0,2023-01-25,41700.0,0.05,25,PE,NFO-OPT,NFO
29,14207234,55497,BANKNIFTY23JAN41800PE,BANKNIFTY,0.0,2023-01-25,41800.0,0.05,25,PE,NFO-OPT,NFO
30,14207746,55499,BANKNIFTY23JAN41900PE,BANKNIFTY,0.0,2023-01-25,41900.0,0.05,25,PE,NFO-OPT,NFO
31,14208770,55503,BANKNIFTY23JAN42000PE,BANKNIFTY,0.0,2023-01-25,42000.0,0.05,25,PE,NFO-OPT,NFO
32,14209538,55506,BANKNIFTY23JAN42100PE,BANKNIFTY,0.0,2023-01-25,42100.0,0.05,25,PE,NFO-OPT,NFO
33,14210050,55508,BANKNIFTY23JAN42200PE,BANKNIFTY,0.0,2023-01-25,42200.0,0.05,25,PE,NFO-OPT,NFO
34,14210818,55511,BANKNIFTY23JAN42300PE,BANKNIFTY,0.0,2023-01-25,42300.0,0.05,25,PE,NFO-OPT,NFO
35,14211330,55513,BANKNIFTY23JAN42400PE,BANKNIFTY,0.0,2023-01-25,42400.0,0.05,25,PE,NFO-OPT,NFO
36,14211842,55515,BANKNIFTY23JAN42500PE,BANKNIFTY,0.0,2023-01-25,42500.0,0.05,25,PE,NFO-OPT,NFO
37,14212354,55517,BANKNIFTY23JAN42600PE,BANKNIFTY,0.0,2023-01-25,42600.0,0.05,25,PE,NFO-OPT,NFO
38,14212866,55519,BANKNIFTY23JAN42700PE,BANKNIFTY,0.0,2023-01-25,42700.0,0.05,25,PE,NFO-OPT,NFO
39,14213378,55521,BANKNIFTY23JAN42800PE,BANKNIFTY,0.0,2023-01-25,42800.0,0.05,25,PE,NFO-OPT,NFO
40,14214146,55524,BANKNIFTY23JAN42900PE,BANKNIFTY,0.0,2023-01-25,42900.0,0.05,25,PE,NFO-OPT,NFO
41,14214658,55526,BANKNIFTY23JAN43000PE,BANKNIFTY,0.0,2023-01-25,43000.0,0.05,25,PE,NFO-OPT,NFO
42,14215938,55531,BANKNIFTY23JAN43100PE,BANKNIFTY,0.0,2023-01-25,43100.0,0.05,25,PE,NFO-OPT,NFO
43,14216450,55533,BANKNIFTY23JAN43200PE,BANKNIFTY,0.0,2023-01-25,43200.0,0.05,25,PE,NFO-OPT,NFO
44,14216962,55535,BANKNIFTY23JAN43300PE,BANKNIFTY,0.0,2023-01-25,43300.0,0.05,25,PE,NFO-OPT,NFO
45,14217474,55537,BANKNIFTY23JAN43400PE,BANKNIFTY,0.0,2023-01-25,43400.0,0.05,25,PE,NFO-OPT,NFO
46,14217986,55539,BANKNIFTY23JAN43500PE,BANKNIFTY,0.0,2023-01-25,43500.0,0.05,25,PE,NFO-OPT,NFO
47,14219266,55544,BANKNIFTY23JAN43600PE,BANKNIFTY,0.0,2023-01-25,43600.0,0.05,25,PE,NFO-OPT,NFO
48,14220290,55548,BANKNIFTY23JAN43700PE,BANKNIFTY,0.0,2023-01-25,43700.0,0.05,25,PE,NFO-OPT,NFO
49,14220802,55550,BANKNIFTY23JAN43800PE,BANKNIFTY,0.0,2023-01-25,43800.0,0.05,25,PE,NFO-OPT,NFO
50,14222082,55555,BANKNIFTY23JAN43900PE,BANKNIFTY,0.0,2023-01-25,43900.0,0.05,25,PE,NFO-OPT,NFO
