,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,15133698,59116,BANKNIFTY23SEP41000PE,BANKNIFTY,0.0,2023-09-28,41000.0,0.05,15,PE,NFO-OPT,NFO
1,15136258,59126,BANKNIFTY23SEP41500PE,BANKNIFTY,0.0,2023-09-28,41500.0,0.05,15,PE,NFO-OPT,NFO
2,15137794,59132,BANKNIFTY23SEP41800PE,BANKNIFTY,0.0,2023-09-28,41800.0,0.05,15,PE,NFO-OPT,NFO
3,15141122,59145,BANKNIFTY23SEP41900PE,BANKNIFTY,0.0,2023-09-28,41900.0,0.05,15,PE,NFO-OPT,NFO
4,22014978,85996,BANKNIFTY23SEP42000PE,BANKNIFTY,0.0,2023-09-28,42000.0,0.05,15,PE,NFO-OPT,NFO
5,15141634,59147,BANKNIFTY23SEP42100PE,BANKNIFTY,0.0,2023-09-28,42100.0,0.05,15,PE,NFO-OPT,NFO
6,15142146,59149,BANKNIFTY23SEP42200PE,BANKNIFTY,0.0,2023-09-28,42200.0,0.05,15,PE,NFO-OPT,NFO
7,15142658,59151,BANKNIFTY23SEP42300PE,BANKNIFTY,0.0,2023-09-28,42300.0,0.05,15,PE,NFO-OPT,NFO
8,15143170,59153,BANKNIFTY23SEP42400PE,BANKNIFTY,0.0,2023-09-28,42400.0,0.05,15,PE,NFO-OPT,NFO
9,15143682,59155,BANKNIFTY23SEP42500PE,BANKNIFTY,0.0,2023-09-28,42500.0,0.05,15,PE,NFO-OPT,NFO
10,15144194,59157,BANKNIFTY23SEP42600PE,BANKNIFTY,0.0,2023-09-28,42600.0,0.05,15,PE,NFO-OPT,NFO
11,15144706,59159,BANKNIFTY23SEP42700PE,BANKNIFTY,0.0,2023-09-28,42700.0,0.05,15,PE,NFO-OPT,NFO
12,15145218,59161,BANKNIFTY23SEP42800PE,BANKNIFTY,0.0,2023-09-28,42800.0,0.05,15,PE,NFO-OPT,NFO
13,15145730,59163,BANKNIFTY23SEP42900PE,BANKNIFTY,0.0,2023-09-28,42900.0,0.05,15,PE,NFO-OPT,NFO
14,15146242,59165,BANKNIFTY23SEP43000PE,BANKNIFTY,0.0,2023-09-28,43000.0,0.05,15,PE,NFO-OPT,NFO
15,15146754,59167,BANKNIFTY23SEP43100PE,BANKNIFTY,0.0,2023-09-28,43100.0,0.05,15,PE,NFO-OPT,NFO
16,15148034,59172,BANKNIFTY23SEP43200PE,BANKNIFTY,0.0,2023-09-28,43200.0,0.05,15,PE,NFO-OPT,NFO
17,15148546,59174,BANKNIFTY23SEP43300PE,BANKNIFTY,0.0,2023-09-28,43300.0,0.05,15,PE,NFO-OPT,NFO
18,15149058,59176,BANKNIFTY23SEP43400PE,BANKNIFTY,0.0,2023-09-28,43400.0,0.05,15,PE,NFO-OPT,NFO
19,22015490,85998,BANKNIFTY23SEP43500PE,BANKNIFTY,0.0,2023-09-28,43500.0,0.05,15,PE,NFO-OPT,NFO
20,15149826,59179,BANKNIFTY23SEP43600PE,BANKNIFTY,0.0,2023-09-28,43600.0,0.05,15,PE,NFO-OPT,NFO
21,15150338,59181,BANKNIFTY23SEP43700PE,BANKNIFTY,0.0,2023-09-28,43700.0,0.05,15,PE,NFO-OPT,NFO
22,15150850,59183,BANKNIFTY23SEP43800PE,BANKNIFTY,0.0,2023-09-28,43800.0,0.05,15,PE,NFO-OPT,NFO
23,15151362,59185,BANKNIFTY23SEP43900PE,BANKNIFTY,0.0,2023-09-28,43900.0,0.05,15,PE,NFO-OPT,NFO
24,15151874,59187,BANKNIFTY23SEP44000PE,BANKNIFTY,0.0,2023-09-28,44000.0,0.05,15,PE,NFO-OPT,NFO
25,15152386,59189,BANKNIFTY23SEP44100PE,BANKNIFTY,0.0,2023-09-28,44100.0,0.05,15,PE,NFO-OPT,NFO
26,15152898,59191,BANKNIFTY23SEP44200PE,BANKNIFTY,0.0,2023-09-28,44200.0,0.05,15,PE,NFO-OPT,NFO
27,15153410,59193,BANKNIFTY23SEP44300PE,BANKNIFTY,0.0,2023-09-28,44300.0,0.05,15,PE,NFO-OPT,NFO
28,15153922,59195,BANKNIFTY23SEP44400PE,BANKNIFTY,0.0,2023-09-28,44400.0,0.05,15,PE,NFO-OPT,NFO
29,15154434,59197,BANKNIFTY23SEP44500PE,BANKNIFTY,0.0,2023-09-28,44500.0,0.05,15,PE,NFO-OPT,NFO
30,15155714,59202,BANKNIFTY23SEP44600PE,BANKNIFTY,0.0,2023-09-28,44600.0,0.05,15,PE,NFO-OPT,NFO
31,15156226,59204,BANKNIFTY23SEP44700PE,BANKNIFTY,0.0,2023-09-28,44700.0,0.05,15,PE,NFO-OPT,NFO
32,15156738,59206,BANKNIFTY23SEP44800PE,BANKNIFTY,0.0,2023-09-28,44800.0,0.05,15,PE,NFO-OPT,NFO
33,15157250,59208,BANKNIFTY23SEP44900PE,BANKNIFTY,0.0,2023-09-28,44900.0,0.05,15,PE,NFO-OPT,NFO
34,22016002,86000,BANKNIFTY23SEP45000PE,BANKNIFTY,0.0,2023-09-28,45000.0,0.05,15,PE,NFO-OPT,NFO
35,15157762,59210,BANKNIFTY23SEP45100PE,BANKNIFTY,0.0,2023-09-28,45100.0,0.05,15,PE,NFO-OPT,NFO
36,15158530,59213,BANKNIFTY23SEP45200PE,BANKNIFTY,0.0,2023-09-28,45200.0,0.05,15,PE,NFO-OPT,NFO
37,15160066,59219,BANKNIFTY23SEP45300PE,BANKNIFTY,0.0,2023-09-28,45300.0,0.05,15,PE,NFO-OPT,NFO
38,15161602,59225,BANKNIFTY23SEP45400PE,BANKNIFTY,0.0,2023-09-28,45400.0,0.05,15,PE,NFO-OPT,NFO
39,15163650,59233,BANKNIFTY23SEP45500PE,BANKNIFTY,0.0,2023-09-28,45500.0,0.05,15,PE,NFO-OPT,NFO
40,15165186,59239,BANKNIFTY23SEP45600PE,BANKNIFTY,0.0,2023-09-28,45600.0,0.05,15,PE,NFO-OPT,NFO
41,15165698,59241,BANKNIFTY23SEP45700PE,BANKNIFTY,0.0,2023-09-28,45700.0,0.05,15,PE,NFO-OPT,NFO
42,15166210,59243,BANKNIFTY23SEP45800PE,BANKNIFTY,0.0,2023-09-28,45800.0,0.05,15,PE,NFO-OPT,NFO
43,15175426,59279,BANKNIFTY23SEP45900PE,BANKNIFTY,0.0,2023-09-28,45900.0,0.05,15,PE,NFO-OPT,NFO
44,15176962,59285,BANKNIFTY23SEP46000PE,BANKNIFTY,0.0,2023-09-28,46000.0,0.05,15,PE,NFO-OPT,NFO
45,15177474,59287,BANKNIFTY23SEP46100PE,BANKNIFTY,0.0,2023-09-28,46100.0,0.05,15,PE,NFO-OPT,NFO
46,15177986,59289,BANKNIFTY23SEP46200PE,BANKNIFTY,0.0,2023-09-28,46200.0,0.05,15,PE,NFO-OPT,NFO
47,15178498,59291,BANKNIFTY23SEP46300PE,BANKNIFTY,0.0,2023-09-28,46300.0,0.05,15,PE,NFO-OPT,NFO
48,15179010,59293,BANKNIFTY23SEP46400PE,BANKNIFTY,0.0,2023-09-28,46400.0,0.05,15,PE,NFO-OPT,NFO
49,22016514,86002,BANKNIFTY23SEP46500PE,BANKNIFTY,0.0,2023-09-28,46500.0,0.05,15,PE,NFO-OPT,NFO
50,15179522,59295,BANKNIFTY23SEP46600PE,BANKNIFTY,0.0,2023-09-28,46600.0,0.05,15,PE,NFO-OPT,NFO
51,15180034,59297,BANKNIFTY23SEP46700PE,BANKNIFTY,0.0,2023-09-28,46700.0,0.05,15,PE,NFO-OPT,NFO
52,15180546,59299,BANKNIFTY23SEP46800PE,BANKNIFTY,0.0,2023-09-28,46800.0,0.05,15,PE,NFO-OPT,NFO
53,15181058,59301,BANKNIFTY23SEP46900PE,BANKNIFTY,0.0,2023-09-28,46900.0,0.05,15,PE,NFO-OPT,NFO
54,15181570,59303,BANKNIFTY23SEP47000PE,BANKNIFTY,0.0,2023-09-28,47000.0,0.05,15,PE,NFO-OPT,NFO
55,15185154,59317,BANKNIFTY23SEP47100PE,BANKNIFTY,0.0,2023-09-28,47100.0,0.05,15,PE,NFO-OPT,NFO
56,15185666,59319,BANKNIFTY23SEP47200PE,BANKNIFTY,0.0,2023-09-28,47200.0,0.05,15,PE,NFO-OPT,NFO
57,15186178,59321,BANKNIFTY23SEP47300PE,BANKNIFTY,0.0,2023-09-28,47300.0,0.05,15,PE,NFO-OPT,NFO
58,15186690,59323,BANKNIFTY23SEP47400PE,BANKNIFTY,0.0,2023-09-28,47400.0,0.05,15,PE,NFO-OPT,NFO
59,15187202,59325,BANKNIFTY23SEP47500PE,BANKNIFTY,0.0,2023-09-28,47500.0,0.05,15,PE,NFO-OPT,NFO
60,15187714,59327,BANKNIFTY23SEP47600PE,BANKNIFTY,0.0,2023-09-28,47600.0,0.05,15,PE,NFO-OPT,NFO
61,15188226,59329,BANKNIFTY23SEP47700PE,BANKNIFTY,0.0,2023-09-28,47700.0,0.05,15,PE,NFO-OPT,NFO
62,15188738,59331,BANKNIFTY23SEP47800PE,BANKNIFTY,0.0,2023-09-28,47800.0,0.05,15,PE,NFO-OPT,NFO
63,22017026,86004,BANKNIFTY23SEP48000PE,BANKNIFTY,0.0,2023-09-28,48000.0,0.05,15,PE,NFO-OPT,NFO
64,15191810,59343,BANKNIFTY23SEP48500PE,BANKNIFTY,0.0,2023-09-28,48500.0,0.05,15,PE,NFO-OPT,NFO
65,15194370,59353,BANKNIFTY23SEP49000PE,BANKNIFTY,0.0,2023-09-28,49000.0,0.05,15,PE,NFO-OPT,NFO
66,22017538,86006,BANKNIFTY23SEP49500PE,BANKNIFTY,0.0,2023-09-28,49500.0,0.05,15,PE,NFO-OPT,NFO
