,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14625026,57129,BANKNIFTY23MAR39000CE,BANKNIFTY,0.0,2023-03-29,39000.0,0.05,25,CE,NFO-OPT,NFO
1,13468674,52612,BANKNIFTY23MAR39500CE,BANKNIFTY,0.0,2023-03-29,39500.0,0.05,25,CE,NFO-OPT,NFO
2,13472258,52626,BANKNIFTY23MAR40000CE,BANKNIFTY,0.0,2023-03-29,40000.0,0.05,25,CE,NFO-OPT,NFO
3,14625538,57131,BANKNIFTY23MAR40500CE,BANKNIFTY,0.0,2023-03-29,40500.0,0.05,25,CE,NFO-OPT,NFO
4,13477890,52648,BANKNIFTY23MAR41000CE,BANKNIFTY,0.0,2023-03-29,41000.0,0.05,25,CE,NFO-OPT,NFO
5,13479938,52656,BANKNIFTY23MAR41300CE,BANKNIFTY,0.0,2023-03-29,41300.0,0.05,25,CE,NFO-OPT,NFO
6,13480450,52658,BANKNIFTY23MAR41400CE,BANKNIFTY,0.0,2023-03-29,41400.0,0.05,25,CE,NFO-OPT,NFO
7,13480962,52660,BANKNIFTY23MAR41500CE,BANKNIFTY,0.0,2023-03-29,41500.0,0.05,25,CE,NFO-OPT,NFO
8,13481474,52662,BANKNIFTY23MAR41600CE,BANKNIFTY,0.0,2023-03-29,41600.0,0.05,25,CE,NFO-OPT,NFO
9,13482498,52666,BANKNIFTY23MAR41700CE,BANKNIFTY,0.0,2023-03-29,41700.0,0.05,25,CE,NFO-OPT,NFO
10,13483010,52668,BANKNIFTY23MAR41800CE,BANKNIFTY,0.0,2023-03-29,41800.0,0.05,25,CE,NFO-OPT,NFO
11,13483522,52670,BANKNIFTY23MAR41900CE,BANKNIFTY,0.0,2023-03-29,41900.0,0.05,25,CE,NFO-OPT,NFO
12,14626050,57133,BANKNIFTY23MAR42000CE,BANKNIFTY,0.0,2023-03-29,42000.0,0.05,25,CE,NFO-OPT,NFO
13,13484034,52672,BANKNIFTY23MAR42100CE,BANKNIFTY,0.0,2023-03-29,42100.0,0.05,25,CE,NFO-OPT,NFO
14,13485058,52676,BANKNIFTY23MAR42200CE,BANKNIFTY,0.0,2023-03-29,42200.0,0.05,25,CE,NFO-OPT,NFO
15,13486082,52680,BANKNIFTY23MAR42300CE,BANKNIFTY,0.0,2023-03-29,42300.0,0.05,25,CE,NFO-OPT,NFO
16,13487106,52684,BANKNIFTY23MAR42400CE,BANKNIFTY,0.0,2023-03-29,42400.0,0.05,25,CE,NFO-OPT,NFO
17,13488130,52688,BANKNIFTY23MAR42500CE,BANKNIFTY,0.0,2023-03-29,42500.0,0.05,25,CE,NFO-OPT,NFO
18,13488642,52690,BANKNIFTY23MAR42600CE,BANKNIFTY,0.0,2023-03-29,42600.0,0.05,25,CE,NFO-OPT,NFO
19,13490690,52698,BANKNIFTY23MAR42700CE,BANKNIFTY,0.0,2023-03-29,42700.0,0.05,25,CE,NFO-OPT,NFO
20,13492226,52704,BANKNIFTY23MAR42800CE,BANKNIFTY,0.0,2023-03-29,42800.0,0.05,25,CE,NFO-OPT,NFO
21,13494274,52712,BANKNIFTY23MAR42900CE,BANKNIFTY,0.0,2023-03-29,42900.0,0.05,25,CE,NFO-OPT,NFO
22,13495298,52716,BANKNIFTY23MAR43000CE,BANKNIFTY,0.0,2023-03-29,43000.0,0.05,25,CE,NFO-OPT,NFO
23,13499394,52732,BANKNIFTY23MAR43100CE,BANKNIFTY,0.0,2023-03-29,43100.0,0.05,25,CE,NFO-OPT,NFO
24,13499906,52734,BANKNIFTY23MAR43200CE,BANKNIFTY,0.0,2023-03-29,43200.0,0.05,25,CE,NFO-OPT,NFO
25,13500930,52738,BANKNIFTY23MAR43300CE,BANKNIFTY,0.0,2023-03-29,43300.0,0.05,25,CE,NFO-OPT,NFO
26,13501442,52740,BANKNIFTY23MAR43400CE,BANKNIFTY,0.0,2023-03-29,43400.0,0.05,25,CE,NFO-OPT,NFO
27,14626562,57135,BANKNIFTY23MAR43500CE,BANKNIFTY,0.0,2023-03-29,43500.0,0.05,25,CE,NFO-OPT,NFO
28,13501954,52742,BANKNIFTY23MAR43600CE,BANKNIFTY,0.0,2023-03-29,43600.0,0.05,25,CE,NFO-OPT,NFO
29,13504002,52750,BANKNIFTY23MAR43700CE,BANKNIFTY,0.0,2023-03-29,43700.0,0.05,25,CE,NFO-OPT,NFO
30,13504514,52752,BANKNIFTY23MAR43800CE,BANKNIFTY,0.0,2023-03-29,43800.0,0.05,25,CE,NFO-OPT,NFO
31,13505538,52756,BANKNIFTY23MAR43900CE,BANKNIFTY,0.0,2023-03-29,43900.0,0.05,25,CE,NFO-OPT,NFO
32,13506050,52758,BANKNIFTY23MAR44000CE,BANKNIFTY,0.0,2023-03-29,44000.0,0.05,25,CE,NFO-OPT,NFO
33,13506562,52760,BANKNIFTY23MAR44100CE,BANKNIFTY,0.0,2023-03-29,44100.0,0.05,25,CE,NFO-OPT,NFO
34,13509122,52770,BANKNIFTY23MAR44200CE,BANKNIFTY,0.0,2023-03-29,44200.0,0.05,25,CE,NFO-OPT,NFO
35,13511170,52778,BANKNIFTY23MAR44300CE,BANKNIFTY,0.0,2023-03-29,44300.0,0.05,25,CE,NFO-OPT,NFO
36,13512706,52784,BANKNIFTY23MAR44400CE,BANKNIFTY,0.0,2023-03-29,44400.0,0.05,25,CE,NFO-OPT,NFO
37,13516290,52798,BANKNIFTY23MAR44500CE,BANKNIFTY,0.0,2023-03-29,44500.0,0.05,25,CE,NFO-OPT,NFO
38,13518338,52806,BANKNIFTY23MAR44600CE,BANKNIFTY,0.0,2023-03-29,44600.0,0.05,25,CE,NFO-OPT,NFO
39,13519362,52810,BANKNIFTY23MAR44700CE,BANKNIFTY,0.0,2023-03-29,44700.0,0.05,25,CE,NFO-OPT,NFO
40,13521922,52820,BANKNIFTY23MAR44800CE,BANKNIFTY,0.0,2023-03-29,44800.0,0.05,25,CE,NFO-OPT,NFO
41,13522434,52822,BANKNIFTY23MAR44900CE,BANKNIFTY,0.0,2023-03-29,44900.0,0.05,25,CE,NFO-OPT,NFO
42,9048578,35346,BANKNIFTY23MAR45000CE,BANKNIFTY,0.0,2023-03-29,45000.0,0.05,25,CE,NFO-OPT,NFO
43,13522946,52824,BANKNIFTY23MAR45100CE,BANKNIFTY,0.0,2023-03-29,45100.0,0.05,25,CE,NFO-OPT,NFO
44,13523458,52826,BANKNIFTY23MAR45200CE,BANKNIFTY,0.0,2023-03-29,45200.0,0.05,25,CE,NFO-OPT,NFO
45,13523970,52828,BANKNIFTY23MAR45300CE,BANKNIFTY,0.0,2023-03-29,45300.0,0.05,25,CE,NFO-OPT,NFO
46,13526018,52836,BANKNIFTY23MAR45500CE,BANKNIFTY,0.0,2023-03-29,45500.0,0.05,25,CE,NFO-OPT,NFO
47,13531650,52858,BANKNIFTY23MAR46000CE,BANKNIFTY,0.0,2023-03-29,46000.0,0.05,25,CE,NFO-OPT,NFO
48,10074370,39353,BANKNIFTY23MAR46500CE,BANKNIFTY,0.0,2023-03-29,46500.0,0.05,25,CE,NFO-OPT,NFO
