,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,10645506,41584,BANKNIFTY2310539000CE,BANKNIFTY,0.0,2023-01-05,39000.0,0.05,25,CE,NFO-OPT,NFO
1,10647042,41590,BANKNIFTY2310539500CE,BANKNIFTY,0.0,2023-01-05,39500.0,0.05,25,CE,NFO-OPT,NFO
2,10650370,41603,BANKNIFTY2310539700CE,BANKNIFTY,0.0,2023-01-05,39700.0,0.05,25,CE,NFO-OPT,NFO
3,10650882,41605,BANKNIFTY2310539800CE,BANKNIFTY,0.0,2023-01-05,39800.0,0.05,25,CE,NFO-OPT,NFO
4,10652162,41610,BANKNIFTY2310539900CE,BANKNIFTY,0.0,2023-01-05,39900.0,0.05,25,CE,NFO-OPT,NFO
5,10654466,41619,BANKNIFTY2310540000CE,BANKNIFTY,0.0,2023-01-05,40000.0,0.05,25,CE,NFO-OPT,NFO
6,10654978,41621,BANKNIFTY2310540100CE,BANKNIFTY,0.0,2023-01-05,40100.0,0.05,25,CE,NFO-OPT,NFO
7,10655490,41623,BANKNIFTY2310540200CE,BANKNIFTY,0.0,2023-01-05,40200.0,0.05,25,CE,NFO-OPT,NFO
8,10656002,41625,BANKNIFTY2310540300CE,BANKNIFTY,0.0,2023-01-05,40300.0,0.05,25,CE,NFO-OPT,NFO
9,10656514,41627,BANKNIFTY2310540400CE,BANKNIFTY,0.0,2023-01-05,40400.0,0.05,25,CE,NFO-OPT,NFO
10,10658050,41633,BANKNIFTY2310540500CE,BANKNIFTY,0.0,2023-01-05,40500.0,0.05,25,CE,NFO-OPT,NFO
11,10658562,41635,BANKNIFTY2310540600CE,BANKNIFTY,0.0,2023-01-05,40600.0,0.05,25,CE,NFO-OPT,NFO
12,10659330,41638,BANKNIFTY2310540700CE,BANKNIFTY,0.0,2023-01-05,40700.0,0.05,25,CE,NFO-OPT,NFO
13,10660098,41641,BANKNIFTY2310540800CE,BANKNIFTY,0.0,2023-01-05,40800.0,0.05,25,CE,NFO-OPT,NFO
14,10660610,41643,BANKNIFTY2310540900CE,BANKNIFTY,0.0,2023-01-05,40900.0,0.05,25,CE,NFO-OPT,NFO
15,10661122,41645,BANKNIFTY2310541000CE,BANKNIFTY,0.0,2023-01-05,41000.0,0.05,25,CE,NFO-OPT,NFO
16,10661634,41647,BANKNIFTY2310541100CE,BANKNIFTY,0.0,2023-01-05,41100.0,0.05,25,CE,NFO-OPT,NFO
17,10662146,41649,BANKNIFTY2310541200CE,BANKNIFTY,0.0,2023-01-05,41200.0,0.05,25,CE,NFO-OPT,NFO
18,10663426,41654,BANKNIFTY2310541300CE,BANKNIFTY,0.0,2023-01-05,41300.0,0.05,25,CE,NFO-OPT,NFO
19,10663938,41656,BANKNIFTY2310541400CE,BANKNIFTY,0.0,2023-01-05,41400.0,0.05,25,CE,NFO-OPT,NFO
20,10664962,41660,BANKNIFTY2310541500CE,BANKNIFTY,0.0,2023-01-05,41500.0,0.05,25,CE,NFO-OPT,NFO
21,10665474,41662,BANKNIFTY2310541600CE,BANKNIFTY,0.0,2023-01-05,41600.0,0.05,25,CE,NFO-OPT,NFO
22,10667010,41668,BANKNIFTY2310541700CE,BANKNIFTY,0.0,2023-01-05,41700.0,0.05,25,CE,NFO-OPT,NFO
23,10667778,41671,BANKNIFTY2310541800CE,BANKNIFTY,0.0,2023-01-05,41800.0,0.05,25,CE,NFO-OPT,NFO
24,10670338,41681,BANKNIFTY2310541900CE,BANKNIFTY,0.0,2023-01-05,41900.0,0.05,25,CE,NFO-OPT,NFO
25,10673154,41692,BANKNIFTY2310542000CE,BANKNIFTY,0.0,2023-01-05,42000.0,0.05,25,CE,NFO-OPT,NFO
26,10673666,41694,BANKNIFTY2310542100CE,BANKNIFTY,0.0,2023-01-05,42100.0,0.05,25,CE,NFO-OPT,NFO
27,10674178,41696,BANKNIFTY2310542200CE,BANKNIFTY,0.0,2023-01-05,42200.0,0.05,25,CE,NFO-OPT,NFO
28,10675202,41700,BANKNIFTY2310542300CE,BANKNIFTY,0.0,2023-01-05,42300.0,0.05,25,CE,NFO-OPT,NFO
29,10676994,41707,BANKNIFTY2310542400CE,BANKNIFTY,0.0,2023-01-05,42400.0,0.05,25,CE,NFO-OPT,NFO
30,10677506,41709,BANKNIFTY2310542500CE,BANKNIFTY,0.0,2023-01-05,42500.0,0.05,25,CE,NFO-OPT,NFO
31,10678018,41711,BANKNIFTY2310542600CE,BANKNIFTY,0.0,2023-01-05,42600.0,0.05,25,CE,NFO-OPT,NFO
32,10680834,41722,BANKNIFTY2310542700CE,BANKNIFTY,0.0,2023-01-05,42700.0,0.05,25,CE,NFO-OPT,NFO
33,10681346,41724,BANKNIFTY2310542800CE,BANKNIFTY,0.0,2023-01-05,42800.0,0.05,25,CE,NFO-OPT,NFO
34,10682626,41729,BANKNIFTY2310542900CE,BANKNIFTY,0.0,2023-01-05,42900.0,0.05,25,CE,NFO-OPT,NFO
35,10683138,41731,BANKNIFTY2310543000CE,BANKNIFTY,0.0,2023-01-05,43000.0,0.05,25,CE,NFO-OPT,NFO
36,10684930,41738,BANKNIFTY2310543100CE,BANKNIFTY,0.0,2023-01-05,43100.0,0.05,25,CE,NFO-OPT,NFO
37,10686978,41746,BANKNIFTY2310543200CE,BANKNIFTY,0.0,2023-01-05,43200.0,0.05,25,CE,NFO-OPT,NFO
38,10688770,41753,BANKNIFTY2310543300CE,BANKNIFTY,0.0,2023-01-05,43300.0,0.05,25,CE,NFO-OPT,NFO
39,10689538,41756,BANKNIFTY2310543400CE,BANKNIFTY,0.0,2023-01-05,43400.0,0.05,25,CE,NFO-OPT,NFO
40,10691074,41762,BANKNIFTY2310543500CE,BANKNIFTY,0.0,2023-01-05,43500.0,0.05,25,CE,NFO-OPT,NFO
41,10692098,41766,BANKNIFTY2310543600CE,BANKNIFTY,0.0,2023-01-05,43600.0,0.05,25,CE,NFO-OPT,NFO
42,10694402,41775,BANKNIFTY2310543700CE,BANKNIFTY,0.0,2023-01-05,43700.0,0.05,25,CE,NFO-OPT,NFO
43,10695938,41781,BANKNIFTY2310543800CE,BANKNIFTY,0.0,2023-01-05,43800.0,0.05,25,CE,NFO-OPT,NFO
44,10696450,41783,BANKNIFTY2310543900CE,BANKNIFTY,0.0,2023-01-05,43900.0,0.05,25,CE,NFO-OPT,NFO
45,10698242,41790,BANKNIFTY2310544000CE,BANKNIFTY,0.0,2023-01-05,44000.0,0.05,25,CE,NFO-OPT,NFO
46,10700034,41797,BANKNIFTY2310544100CE,BANKNIFTY,0.0,2023-01-05,44100.0,0.05,25,CE,NFO-OPT,NFO
47,10700802,41800,BANKNIFTY2310544200CE,BANKNIFTY,0.0,2023-01-05,44200.0,0.05,25,CE,NFO-OPT,NFO
48,10702594,41807,BANKNIFTY2310544300CE,BANKNIFTY,0.0,2023-01-05,44300.0,0.05,25,CE,NFO-OPT,NFO
49,10703362,41810,BANKNIFTY2310544400CE,BANKNIFTY,0.0,2023-01-05,44400.0,0.05,25,CE,NFO-OPT,NFO
50,10703874,41812,BANKNIFTY2310544500CE,BANKNIFTY,0.0,2023-01-05,44500.0,0.05,25,CE,NFO-OPT,NFO
51,10704898,41816,BANKNIFTY2310544600CE,BANKNIFTY,0.0,2023-01-05,44600.0,0.05,25,CE,NFO-OPT,NFO
52,10705410,41818,BANKNIFTY2310544700CE,BANKNIFTY,0.0,2023-01-05,44700.0,0.05,25,CE,NFO-OPT,NFO
53,10705922,41820,BANKNIFTY2310544800CE,BANKNIFTY,0.0,2023-01-05,44800.0,0.05,25,CE,NFO-OPT,NFO
54,10708226,41829,BANKNIFTY2310544900CE,BANKNIFTY,0.0,2023-01-05,44900.0,0.05,25,CE,NFO-OPT,NFO
