,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,9563650,37358,BANKNIFTY2361540000PE,BANKNIFTY,0.0,2023-06-15,40000.0,0.05,25,PE,NFO-OPT,NFO
1,9566210,37368,BANKNIFTY2361540500PE,BANKNIFTY,0.0,2023-06-15,40500.0,0.05,25,PE,NFO-OPT,NFO
2,9568770,37378,BANKNIFTY2361541000PE,BANKNIFTY,0.0,2023-06-15,41000.0,0.05,25,PE,NFO-OPT,NFO
3,9569794,37382,BANKNIFTY2361541100PE,BANKNIFTY,0.0,2023-06-15,41100.0,0.05,25,PE,NFO-OPT,NFO
4,9570306,37384,BANKNIFTY2361541200PE,BANKNIFTY,0.0,2023-06-15,41200.0,0.05,25,PE,NFO-OPT,NFO
5,9572354,37392,BANKNIFTY2361541300PE,BANKNIFTY,0.0,2023-06-15,41300.0,0.05,25,PE,NFO-OPT,NFO
6,9572866,37394,BANKNIFTY2361541400PE,BANKNIFTY,0.0,2023-06-15,41400.0,0.05,25,PE,NFO-OPT,NFO
7,9573378,37396,BANKNIFTY2361541500PE,BANKNIFTY,0.0,2023-06-15,41500.0,0.05,25,PE,NFO-OPT,NFO
8,9574146,37399,BANKNIFTY2361541600PE,BANKNIFTY,0.0,2023-06-15,41600.0,0.05,25,PE,NFO-OPT,NFO
9,9574658,37401,BANKNIFTY2361541700PE,BANKNIFTY,0.0,2023-06-15,41700.0,0.05,25,PE,NFO-OPT,NFO
10,9575170,37403,BANKNIFTY2361541800PE,BANKNIFTY,0.0,2023-06-15,41800.0,0.05,25,PE,NFO-OPT,NFO
11,9575682,37405,BANKNIFTY2361541900PE,BANKNIFTY,0.0,2023-06-15,41900.0,0.05,25,PE,NFO-OPT,NFO
12,9576194,37407,BANKNIFTY2361542000PE,BANKNIFTY,0.0,2023-06-15,42000.0,0.05,25,PE,NFO-OPT,NFO
13,9577218,37411,BANKNIFTY2361542100PE,BANKNIFTY,0.0,2023-06-15,42100.0,0.05,25,PE,NFO-OPT,NFO
14,9577730,37413,BANKNIFTY2361542200PE,BANKNIFTY,0.0,2023-06-15,42200.0,0.05,25,PE,NFO-OPT,NFO
15,9578242,37415,BANKNIFTY2361542300PE,BANKNIFTY,0.0,2023-06-15,42300.0,0.05,25,PE,NFO-OPT,NFO
16,9578754,37417,BANKNIFTY2361542400PE,BANKNIFTY,0.0,2023-06-15,42400.0,0.05,25,PE,NFO-OPT,NFO
17,9579266,37419,BANKNIFTY2361542500PE,BANKNIFTY,0.0,2023-06-15,42500.0,0.05,25,PE,NFO-OPT,NFO
18,9580290,37423,BANKNIFTY2361542600PE,BANKNIFTY,0.0,2023-06-15,42600.0,0.05,25,PE,NFO-OPT,NFO
