,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,18562818,72511,BANKNIFTY23MAY38800CE,BANKNIFTY,0.0,2023-05-25,38800.0,0.05,25,CE,NFO-OPT,NFO
1,18563330,72513,BANKNIFTY23MAY38900CE,BANKNIFTY,0.0,2023-05-25,38900.0,0.05,25,CE,NFO-OPT,NFO
2,18563842,72515,BANKNIFTY23MAY39000CE,BANKNIFTY,0.0,2023-05-25,39000.0,0.05,25,CE,NFO-OPT,NFO
3,18567938,72531,BANKNIFTY23MAY39100CE,BANKNIFTY,0.0,2023-05-25,39100.0,0.05,25,CE,NFO-OPT,NFO
4,18571778,72546,BANKNIFTY23MAY39200CE,BANKNIFTY,0.0,2023-05-25,39200.0,0.05,25,CE,NFO-OPT,NFO
5,18572290,72548,BANKNIFTY23MAY39300CE,BANKNIFTY,0.0,2023-05-25,39300.0,0.05,25,CE,NFO-OPT,NFO
6,18578690,72573,BANKNIFTY23MAY39400CE,BANKNIFTY,0.0,2023-05-25,39400.0,0.05,25,CE,NFO-OPT,NFO
7,18580482,72580,BANKNIFTY23MAY39500CE,BANKNIFTY,0.0,2023-05-25,39500.0,0.05,25,CE,NFO-OPT,NFO
8,18580994,72582,BANKNIFTY23MAY39600CE,BANKNIFTY,0.0,2023-05-25,39600.0,0.05,25,CE,NFO-OPT,NFO
9,18581506,72584,BANKNIFTY23MAY39700CE,BANKNIFTY,0.0,2023-05-25,39700.0,0.05,25,CE,NFO-OPT,NFO
10,18582018,72586,BANKNIFTY23MAY39800CE,BANKNIFTY,0.0,2023-05-25,39800.0,0.05,25,CE,NFO-OPT,NFO
11,18582530,72588,BANKNIFTY23MAY39900CE,BANKNIFTY,0.0,2023-05-25,39900.0,0.05,25,CE,NFO-OPT,NFO
12,18584578,72596,BANKNIFTY23MAY40000CE,BANKNIFTY,0.0,2023-05-25,40000.0,0.05,25,CE,NFO-OPT,NFO
13,18585090,72598,BANKNIFTY23MAY40100CE,BANKNIFTY,0.0,2023-05-25,40100.0,0.05,25,CE,NFO-OPT,NFO
14,18585602,72600,BANKNIFTY23MAY40200CE,BANKNIFTY,0.0,2023-05-25,40200.0,0.05,25,CE,NFO-OPT,NFO
15,18586114,72602,BANKNIFTY23MAY40300CE,BANKNIFTY,0.0,2023-05-25,40300.0,0.05,25,CE,NFO-OPT,NFO
16,18586626,72604,BANKNIFTY23MAY40400CE,BANKNIFTY,0.0,2023-05-25,40400.0,0.05,25,CE,NFO-OPT,NFO
17,18587138,72606,BANKNIFTY23MAY40500CE,BANKNIFTY,0.0,2023-05-25,40500.0,0.05,25,CE,NFO-OPT,NFO
18,18587650,72608,BANKNIFTY23MAY40600CE,BANKNIFTY,0.0,2023-05-25,40600.0,0.05,25,CE,NFO-OPT,NFO
19,18588162,72610,BANKNIFTY23MAY40700CE,BANKNIFTY,0.0,2023-05-25,40700.0,0.05,25,CE,NFO-OPT,NFO
20,18588674,72612,BANKNIFTY23MAY40800CE,BANKNIFTY,0.0,2023-05-25,40800.0,0.05,25,CE,NFO-OPT,NFO
