,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,11422978,44621,BANKNIFTY2311939000PE,BANKNIFTY,0.0,2023-01-19,39000.0,0.05,25,PE,NFO-OPT,NFO
1,11428866,44644,BANKNIFTY2311939500PE,BANKNIFTY,0.0,2023-01-19,39500.0,0.05,25,PE,NFO-OPT,NFO
2,11432450,44658,BANKNIFTY2311939700PE,BANKNIFTY,0.0,2023-01-19,39700.0,0.05,25,PE,NFO-OPT,NFO
3,11434242,44665,BANKNIFTY2311939800PE,BANKNIFTY,0.0,2023-01-19,39800.0,0.05,25,PE,NFO-OPT,NFO
4,11434754,44667,BANKNIFTY2311939900PE,BANKNIFTY,0.0,2023-01-19,39900.0,0.05,25,PE,NFO-OPT,NFO
5,11436034,44672,BANKNIFTY2311940000PE,BANKNIFTY,0.0,2023-01-19,40000.0,0.05,25,PE,NFO-OPT,NFO
6,11436546,44674,BANKNIFTY2311940100PE,BANKNIFTY,0.0,2023-01-19,40100.0,0.05,25,PE,NFO-OPT,NFO
7,11437058,44676,BANKNIFTY2311940200PE,BANKNIFTY,0.0,2023-01-19,40200.0,0.05,25,PE,NFO-OPT,NFO
8,11437570,44678,BANKNIFTY2311940300PE,BANKNIFTY,0.0,2023-01-19,40300.0,0.05,25,PE,NFO-OPT,NFO
9,11440642,44690,BANKNIFTY2311940400PE,BANKNIFTY,0.0,2023-01-19,40400.0,0.05,25,PE,NFO-OPT,NFO
10,11441666,44694,BANKNIFTY2311940500PE,BANKNIFTY,0.0,2023-01-19,40500.0,0.05,25,PE,NFO-OPT,NFO
11,11443714,44702,BANKNIFTY2311940600PE,BANKNIFTY,0.0,2023-01-19,40600.0,0.05,25,PE,NFO-OPT,NFO
12,11445762,44710,BANKNIFTY2311940700PE,BANKNIFTY,0.0,2023-01-19,40700.0,0.05,25,PE,NFO-OPT,NFO
13,11447810,44718,BANKNIFTY2311940800PE,BANKNIFTY,0.0,2023-01-19,40800.0,0.05,25,PE,NFO-OPT,NFO
14,11448322,44720,BANKNIFTY2311940900PE,BANKNIFTY,0.0,2023-01-19,40900.0,0.05,25,PE,NFO-OPT,NFO
15,11448834,44722,BANKNIFTY2311941000PE,BANKNIFTY,0.0,2023-01-19,41000.0,0.05,25,PE,NFO-OPT,NFO
16,11449858,44726,BANKNIFTY2311941100PE,BANKNIFTY,0.0,2023-01-19,41100.0,0.05,25,PE,NFO-OPT,NFO
17,11451394,44732,BANKNIFTY2311941200PE,BANKNIFTY,0.0,2023-01-19,41200.0,0.05,25,PE,NFO-OPT,NFO
18,11452418,44736,BANKNIFTY2311941300PE,BANKNIFTY,0.0,2023-01-19,41300.0,0.05,25,PE,NFO-OPT,NFO
19,11452930,44738,BANKNIFTY2311941400PE,BANKNIFTY,0.0,2023-01-19,41400.0,0.05,25,PE,NFO-OPT,NFO
20,11453954,44742,BANKNIFTY2311941500PE,BANKNIFTY,0.0,2023-01-19,41500.0,0.05,25,PE,NFO-OPT,NFO
21,11454466,44744,BANKNIFTY2311941600PE,BANKNIFTY,0.0,2023-01-19,41600.0,0.05,25,PE,NFO-OPT,NFO
22,11458050,44758,BANKNIFTY2311941700PE,BANKNIFTY,0.0,2023-01-19,41700.0,0.05,25,PE,NFO-OPT,NFO
23,11459586,44764,BANKNIFTY2311941800PE,BANKNIFTY,0.0,2023-01-19,41800.0,0.05,25,PE,NFO-OPT,NFO
24,11460098,44766,BANKNIFTY2311941900PE,BANKNIFTY,0.0,2023-01-19,41900.0,0.05,25,PE,NFO-OPT,NFO
25,11461122,44770,BANKNIFTY2311942000PE,BANKNIFTY,0.0,2023-01-19,42000.0,0.05,25,PE,NFO-OPT,NFO
26,11463682,44780,BANKNIFTY2311942100PE,BANKNIFTY,0.0,2023-01-19,42100.0,0.05,25,PE,NFO-OPT,NFO
27,11464194,44782,BANKNIFTY2311942200PE,BANKNIFTY,0.0,2023-01-19,42200.0,0.05,25,PE,NFO-OPT,NFO
28,11464706,44784,BANKNIFTY2311942300PE,BANKNIFTY,0.0,2023-01-19,42300.0,0.05,25,PE,NFO-OPT,NFO
29,11468802,44800,BANKNIFTY2311942400PE,BANKNIFTY,0.0,2023-01-19,42400.0,0.05,25,PE,NFO-OPT,NFO
30,11469314,44802,BANKNIFTY2311942500PE,BANKNIFTY,0.0,2023-01-19,42500.0,0.05,25,PE,NFO-OPT,NFO
31,11470082,44805,BANKNIFTY2311942600PE,BANKNIFTY,0.0,2023-01-19,42600.0,0.05,25,PE,NFO-OPT,NFO
32,11470850,44808,BANKNIFTY2311942700PE,BANKNIFTY,0.0,2023-01-19,42700.0,0.05,25,PE,NFO-OPT,NFO
33,11472386,44814,BANKNIFTY2311942800PE,BANKNIFTY,0.0,2023-01-19,42800.0,0.05,25,PE,NFO-OPT,NFO
34,11472898,44816,BANKNIFTY2311942900PE,BANKNIFTY,0.0,2023-01-19,42900.0,0.05,25,PE,NFO-OPT,NFO
35,11475202,44825,BANKNIFTY2311943000PE,BANKNIFTY,0.0,2023-01-19,43000.0,0.05,25,PE,NFO-OPT,NFO
36,11475714,44827,BANKNIFTY2311943100PE,BANKNIFTY,0.0,2023-01-19,43100.0,0.05,25,PE,NFO-OPT,NFO
37,11476226,44829,BANKNIFTY2311943200PE,BANKNIFTY,0.0,2023-01-19,43200.0,0.05,25,PE,NFO-OPT,NFO
38,11478018,44836,BANKNIFTY2311943300PE,BANKNIFTY,0.0,2023-01-19,43300.0,0.05,25,PE,NFO-OPT,NFO
39,11478530,44838,BANKNIFTY2311943400PE,BANKNIFTY,0.0,2023-01-19,43400.0,0.05,25,PE,NFO-OPT,NFO
40,11481346,44849,BANKNIFTY2311943500PE,BANKNIFTY,0.0,2023-01-19,43500.0,0.05,25,PE,NFO-OPT,NFO
41,11482882,44855,BANKNIFTY2311943600PE,BANKNIFTY,0.0,2023-01-19,43600.0,0.05,25,PE,NFO-OPT,NFO
42,11484930,44863,BANKNIFTY2311943700PE,BANKNIFTY,0.0,2023-01-19,43700.0,0.05,25,PE,NFO-OPT,NFO
43,11486722,44870,BANKNIFTY2311943800PE,BANKNIFTY,0.0,2023-01-19,43800.0,0.05,25,PE,NFO-OPT,NFO
44,11487490,44873,BANKNIFTY2311943900PE,BANKNIFTY,0.0,2023-01-19,43900.0,0.05,25,PE,NFO-OPT,NFO
45,11489026,44879,BANKNIFTY2311944000PE,BANKNIFTY,0.0,2023-01-19,44000.0,0.05,25,PE,NFO-OPT,NFO
46,11489538,44881,BANKNIFTY2311944100PE,BANKNIFTY,0.0,2023-01-19,44100.0,0.05,25,PE,NFO-OPT,NFO
47,11491586,44889,BANKNIFTY2311944200PE,BANKNIFTY,0.0,2023-01-19,44200.0,0.05,25,PE,NFO-OPT,NFO
48,11492098,44891,BANKNIFTY2311944300PE,BANKNIFTY,0.0,2023-01-19,44300.0,0.05,25,PE,NFO-OPT,NFO
49,11493378,44896,BANKNIFTY2311944400PE,BANKNIFTY,0.0,2023-01-19,44400.0,0.05,25,PE,NFO-OPT,NFO
50,11493890,44898,BANKNIFTY2311944500PE,BANKNIFTY,0.0,2023-01-19,44500.0,0.05,25,PE,NFO-OPT,NFO
51,11496194,44907,BANKNIFTY2311944600PE,BANKNIFTY,0.0,2023-01-19,44600.0,0.05,25,PE,NFO-OPT,NFO
52,11497986,44914,BANKNIFTY2311944700PE,BANKNIFTY,0.0,2023-01-19,44700.0,0.05,25,PE,NFO-OPT,NFO
53,11499010,44918,BANKNIFTY2311944800PE,BANKNIFTY,0.0,2023-01-19,44800.0,0.05,25,PE,NFO-OPT,NFO
54,11499778,44921,BANKNIFTY2311944900PE,BANKNIFTY,0.0,2023-01-19,44900.0,0.05,25,PE,NFO-OPT,NFO
55,11500290,44923,BANKNIFTY2311945000PE,BANKNIFTY,0.0,2023-01-19,45000.0,0.05,25,PE,NFO-OPT,NFO
56,11501826,44929,BANKNIFTY2311945100PE,BANKNIFTY,0.0,2023-01-19,45100.0,0.05,25,PE,NFO-OPT,NFO
57,11506178,44946,BANKNIFTY2311945200PE,BANKNIFTY,0.0,2023-01-19,45200.0,0.05,25,PE,NFO-OPT,NFO
58,11506690,44948,BANKNIFTY2311945300PE,BANKNIFTY,0.0,2023-01-19,45300.0,0.05,25,PE,NFO-OPT,NFO
59,11507202,44950,BANKNIFTY2311945400PE,BANKNIFTY,0.0,2023-01-19,45400.0,0.05,25,PE,NFO-OPT,NFO
60,11507714,44952,BANKNIFTY2311945500PE,BANKNIFTY,0.0,2023-01-19,45500.0,0.05,25,PE,NFO-OPT,NFO
61,11511042,44965,BANKNIFTY2311946000PE,BANKNIFTY,0.0,2023-01-19,46000.0,0.05,25,PE,NFO-OPT,NFO
62,11534338,45056,BANKNIFTY2311946500PE,BANKNIFTY,0.0,2023-01-19,46500.0,0.05,25,PE,NFO-OPT,NFO
63,11539202,45075,BANKNIFTY2311947000PE,BANKNIFTY,0.0,2023-01-19,47000.0,0.05,25,PE,NFO-OPT,NFO
