,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14932482,58330,NIFTY23FEB16400PE,NIFTY,0.0,2023-02-23,16400.0,0.05,50,PE,NFO-OPT,NFO
1,14932994,58332,NIFTY23FEB16450PE,NIFTY,0.0,2023-02-23,16450.0,0.05,50,PE,NFO-OPT,NFO
2,14934018,58336,NIFTY23FEB16500PE,NIFTY,0.0,2023-02-23,16500.0,0.05,50,PE,NFO-OPT,NFO
3,14935298,58341,NIFTY23FEB16550PE,NIFTY,0.0,2023-02-23,16550.0,0.05,50,PE,NFO-OPT,NFO
4,14937346,58349,NIFTY23FEB16600PE,NIFTY,0.0,2023-02-23,16600.0,0.05,50,PE,NFO-OPT,NFO
5,14937858,58351,NIFTY23FEB16650PE,NIFTY,0.0,2023-02-23,16650.0,0.05,50,PE,NFO-OPT,NFO
6,14940162,58360,NIFTY23FEB16700PE,NIFTY,0.0,2023-02-23,16700.0,0.05,50,PE,NFO-OPT,NFO
7,14940674,58362,NIFTY23FEB16750PE,NIFTY,0.0,2023-02-23,16750.0,0.05,50,PE,NFO-OPT,NFO
8,14941698,58366,NIFTY23FEB16800PE,NIFTY,0.0,2023-02-23,16800.0,0.05,50,PE,NFO-OPT,NFO
9,14942210,58368,NIFTY23FEB16850PE,NIFTY,0.0,2023-02-23,16850.0,0.05,50,PE,NFO-OPT,NFO
10,14943234,58372,NIFTY23FEB16900PE,NIFTY,0.0,2023-02-23,16900.0,0.05,50,PE,NFO-OPT,NFO
11,14944258,58376,NIFTY23FEB16950PE,NIFTY,0.0,2023-02-23,16950.0,0.05,50,PE,NFO-OPT,NFO
12,14944770,58378,NIFTY23FEB17000PE,NIFTY,0.0,2023-02-23,17000.0,0.05,50,PE,NFO-OPT,NFO
13,14945282,58380,NIFTY23FEB17050PE,NIFTY,0.0,2023-02-23,17050.0,0.05,50,PE,NFO-OPT,NFO
14,14945794,58382,NIFTY23FEB17100PE,NIFTY,0.0,2023-02-23,17100.0,0.05,50,PE,NFO-OPT,NFO
15,14946306,58384,NIFTY23FEB17150PE,NIFTY,0.0,2023-02-23,17150.0,0.05,50,PE,NFO-OPT,NFO
16,14948098,58391,NIFTY23FEB17200PE,NIFTY,0.0,2023-02-23,17200.0,0.05,50,PE,NFO-OPT,NFO
17,14949634,58397,NIFTY23FEB17250PE,NIFTY,0.0,2023-02-23,17250.0,0.05,50,PE,NFO-OPT,NFO
18,14951682,58405,NIFTY23FEB17300PE,NIFTY,0.0,2023-02-23,17300.0,0.05,50,PE,NFO-OPT,NFO
19,14952450,58408,NIFTY23FEB17350PE,NIFTY,0.0,2023-02-23,17350.0,0.05,50,PE,NFO-OPT,NFO
20,14953474,58412,NIFTY23FEB17400PE,NIFTY,0.0,2023-02-23,17400.0,0.05,50,PE,NFO-OPT,NFO
21,14953986,58414,NIFTY23FEB17450PE,NIFTY,0.0,2023-02-23,17450.0,0.05,50,PE,NFO-OPT,NFO
22,14954498,58416,NIFTY23FEB17500PE,NIFTY,0.0,2023-02-23,17500.0,0.05,50,PE,NFO-OPT,NFO
23,14955010,58418,NIFTY23FEB17550PE,NIFTY,0.0,2023-02-23,17550.0,0.05,50,PE,NFO-OPT,NFO
24,14956290,58423,NIFTY23FEB17600PE,NIFTY,0.0,2023-02-23,17600.0,0.05,50,PE,NFO-OPT,NFO
25,14956802,58425,NIFTY23FEB17650PE,NIFTY,0.0,2023-02-23,17650.0,0.05,50,PE,NFO-OPT,NFO
26,14957826,58429,NIFTY23FEB17700PE,NIFTY,0.0,2023-02-23,17700.0,0.05,50,PE,NFO-OPT,NFO
27,14961410,58443,NIFTY23FEB17750PE,NIFTY,0.0,2023-02-23,17750.0,0.05,50,PE,NFO-OPT,NFO
28,14961922,58445,NIFTY23FEB17800PE,NIFTY,0.0,2023-02-23,17800.0,0.05,50,PE,NFO-OPT,NFO
29,14962434,58447,NIFTY23FEB17850PE,NIFTY,0.0,2023-02-23,17850.0,0.05,50,PE,NFO-OPT,NFO
30,14962946,58449,NIFTY23FEB17900PE,NIFTY,0.0,2023-02-23,17900.0,0.05,50,PE,NFO-OPT,NFO
31,14963458,58451,NIFTY23FEB17950PE,NIFTY,0.0,2023-02-23,17950.0,0.05,50,PE,NFO-OPT,NFO
32,14964482,58455,NIFTY23FEB18000PE,NIFTY,0.0,2023-02-23,18000.0,0.05,50,PE,NFO-OPT,NFO
33,14966018,58461,NIFTY23FEB18050PE,NIFTY,0.0,2023-02-23,18050.0,0.05,50,PE,NFO-OPT,NFO
