,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
<<<<<<< HEAD
0,15292162,59735,NIFTY23SEP17500PE,NIFTY,0.0,2023-09-28,17500.0,0.05,50,PE,NFO-OPT,NFO
1,15293698,59741,NIFTY23SEP17600PE,NIFTY,0.0,2023-09-28,17600.0,0.05,50,PE,NFO-OPT,NFO
2,15295746,59749,NIFTY23SEP17700PE,NIFTY,0.0,2023-09-28,17700.0,0.05,50,PE,NFO-OPT,NFO
3,15296770,59753,NIFTY23SEP17800PE,NIFTY,0.0,2023-09-28,17800.0,0.05,50,PE,NFO-OPT,NFO
4,15298306,59759,NIFTY23SEP17900PE,NIFTY,0.0,2023-09-28,17900.0,0.05,50,PE,NFO-OPT,NFO
5,22230530,86838,NIFTY23SEP18000PE,NIFTY,0.0,2023-09-28,18000.0,0.05,50,PE,NFO-OPT,NFO
6,15300354,59767,NIFTY23SEP18100PE,NIFTY,0.0,2023-09-28,18100.0,0.05,50,PE,NFO-OPT,NFO
7,15698434,61322,NIFTY23SEP18200PE,NIFTY,0.0,2023-09-28,18200.0,0.05,50,PE,NFO-OPT,NFO
8,21953282,85755,NIFTY23SEP18300PE,NIFTY,0.0,2023-09-28,18300.0,0.05,50,PE,NFO-OPT,NFO
9,21954306,85759,NIFTY23SEP18400PE,NIFTY,0.0,2023-09-28,18400.0,0.05,50,PE,NFO-OPT,NFO
10,21955330,85763,NIFTY23SEP18500PE,NIFTY,0.0,2023-09-28,18500.0,0.05,50,PE,NFO-OPT,NFO
11,21956610,85768,NIFTY23SEP18600PE,NIFTY,0.0,2023-09-28,18600.0,0.05,50,PE,NFO-OPT,NFO
12,21957634,85772,NIFTY23SEP18700PE,NIFTY,0.0,2023-09-28,18700.0,0.05,50,PE,NFO-OPT,NFO
13,21958658,85776,NIFTY23SEP18800PE,NIFTY,0.0,2023-09-28,18800.0,0.05,50,PE,NFO-OPT,NFO
14,21960194,85782,NIFTY23SEP18900PE,NIFTY,0.0,2023-09-28,18900.0,0.05,50,PE,NFO-OPT,NFO
15,22231042,86840,NIFTY23SEP19000PE,NIFTY,0.0,2023-09-28,19000.0,0.05,50,PE,NFO-OPT,NFO
16,21961730,85788,NIFTY23SEP19100PE,NIFTY,0.0,2023-09-28,19100.0,0.05,50,PE,NFO-OPT,NFO
17,21971458,85826,NIFTY23SEP19200PE,NIFTY,0.0,2023-09-28,19200.0,0.05,50,PE,NFO-OPT,NFO
18,21972482,85830,NIFTY23SEP19300PE,NIFTY,0.0,2023-09-28,19300.0,0.05,50,PE,NFO-OPT,NFO
19,21973506,85834,NIFTY23SEP19400PE,NIFTY,0.0,2023-09-28,19400.0,0.05,50,PE,NFO-OPT,NFO
20,21977346,85849,NIFTY23SEP19500PE,NIFTY,0.0,2023-09-28,19500.0,0.05,50,PE,NFO-OPT,NFO
21,21982210,85868,NIFTY23SEP19600PE,NIFTY,0.0,2023-09-28,19600.0,0.05,50,PE,NFO-OPT,NFO
22,21983234,85872,NIFTY23SEP19700PE,NIFTY,0.0,2023-09-28,19700.0,0.05,50,PE,NFO-OPT,NFO
23,21984258,85876,NIFTY23SEP19800PE,NIFTY,0.0,2023-09-28,19800.0,0.05,50,PE,NFO-OPT,NFO
24,21985282,85880,NIFTY23SEP19900PE,NIFTY,0.0,2023-09-28,19900.0,0.05,50,PE,NFO-OPT,NFO
25,22231554,86842,NIFTY23SEP20000PE,NIFTY,0.0,2023-09-28,20000.0,0.05,50,PE,NFO-OPT,NFO
26,21986818,85886,NIFTY23SEP20100PE,NIFTY,0.0,2023-09-28,20100.0,0.05,50,PE,NFO-OPT,NFO
27,21988354,85892,NIFTY23SEP20200PE,NIFTY,0.0,2023-09-28,20200.0,0.05,50,PE,NFO-OPT,NFO
28,21989378,85896,NIFTY23SEP20300PE,NIFTY,0.0,2023-09-28,20300.0,0.05,50,PE,NFO-OPT,NFO
29,21990402,85900,NIFTY23SEP20400PE,NIFTY,0.0,2023-09-28,20400.0,0.05,50,PE,NFO-OPT,NFO
30,21991938,85906,NIFTY23SEP20500PE,NIFTY,0.0,2023-09-28,20500.0,0.05,50,PE,NFO-OPT,NFO
31,21993986,85914,NIFTY23SEP20600PE,NIFTY,0.0,2023-09-28,20600.0,0.05,50,PE,NFO-OPT,NFO
32,21995010,85918,NIFTY23SEP20700PE,NIFTY,0.0,2023-09-28,20700.0,0.05,50,PE,NFO-OPT,NFO
33,21998082,85930,NIFTY23SEP20800PE,NIFTY,0.0,2023-09-28,20800.0,0.05,50,PE,NFO-OPT,NFO
34,21999106,85934,NIFTY23SEP20900PE,NIFTY,0.0,2023-09-28,20900.0,0.05,50,PE,NFO-OPT,NFO
35,22232066,86844,NIFTY23SEP21000PE,NIFTY,0.0,2023-09-28,21000.0,0.05,50,PE,NFO-OPT,NFO
=======
0,15293698,59741,NIFTY23SEP17600PE,NIFTY,0.0,2023-09-28,17600.0,0.05,50,PE,NFO-OPT,NFO
1,15295746,59749,NIFTY23SEP17700PE,NIFTY,0.0,2023-09-28,17700.0,0.05,50,PE,NFO-OPT,NFO
2,15296770,59753,NIFTY23SEP17800PE,NIFTY,0.0,2023-09-28,17800.0,0.05,50,PE,NFO-OPT,NFO
3,15298306,59759,NIFTY23SEP17900PE,NIFTY,0.0,2023-09-28,17900.0,0.05,50,PE,NFO-OPT,NFO
4,22230530,86838,NIFTY23SEP18000PE,NIFTY,0.0,2023-09-28,18000.0,0.05,50,PE,NFO-OPT,NFO
5,15300354,59767,NIFTY23SEP18100PE,NIFTY,0.0,2023-09-28,18100.0,0.05,50,PE,NFO-OPT,NFO
6,15698434,61322,NIFTY23SEP18200PE,NIFTY,0.0,2023-09-28,18200.0,0.05,50,PE,NFO-OPT,NFO
7,21953282,85755,NIFTY23SEP18300PE,NIFTY,0.0,2023-09-28,18300.0,0.05,50,PE,NFO-OPT,NFO
8,21954306,85759,NIFTY23SEP18400PE,NIFTY,0.0,2023-09-28,18400.0,0.05,50,PE,NFO-OPT,NFO
9,21955330,85763,NIFTY23SEP18500PE,NIFTY,0.0,2023-09-28,18500.0,0.05,50,PE,NFO-OPT,NFO
10,21956610,85768,NIFTY23SEP18600PE,NIFTY,0.0,2023-09-28,18600.0,0.05,50,PE,NFO-OPT,NFO
11,21957634,85772,NIFTY23SEP18700PE,NIFTY,0.0,2023-09-28,18700.0,0.05,50,PE,NFO-OPT,NFO
12,21958658,85776,NIFTY23SEP18800PE,NIFTY,0.0,2023-09-28,18800.0,0.05,50,PE,NFO-OPT,NFO
13,21960194,85782,NIFTY23SEP18900PE,NIFTY,0.0,2023-09-28,18900.0,0.05,50,PE,NFO-OPT,NFO
14,22231042,86840,NIFTY23SEP19000PE,NIFTY,0.0,2023-09-28,19000.0,0.05,50,PE,NFO-OPT,NFO
15,21961730,85788,NIFTY23SEP19100PE,NIFTY,0.0,2023-09-28,19100.0,0.05,50,PE,NFO-OPT,NFO
16,21971458,85826,NIFTY23SEP19200PE,NIFTY,0.0,2023-09-28,19200.0,0.05,50,PE,NFO-OPT,NFO
17,21972482,85830,NIFTY23SEP19300PE,NIFTY,0.0,2023-09-28,19300.0,0.05,50,PE,NFO-OPT,NFO
18,21973506,85834,NIFTY23SEP19400PE,NIFTY,0.0,2023-09-28,19400.0,0.05,50,PE,NFO-OPT,NFO
19,21977346,85849,NIFTY23SEP19500PE,NIFTY,0.0,2023-09-28,19500.0,0.05,50,PE,NFO-OPT,NFO
20,21982210,85868,NIFTY23SEP19600PE,NIFTY,0.0,2023-09-28,19600.0,0.05,50,PE,NFO-OPT,NFO
21,21983234,85872,NIFTY23SEP19700PE,NIFTY,0.0,2023-09-28,19700.0,0.05,50,PE,NFO-OPT,NFO
22,21984258,85876,NIFTY23SEP19800PE,NIFTY,0.0,2023-09-28,19800.0,0.05,50,PE,NFO-OPT,NFO
23,21985282,85880,NIFTY23SEP19900PE,NIFTY,0.0,2023-09-28,19900.0,0.05,50,PE,NFO-OPT,NFO
24,22231554,86842,NIFTY23SEP20000PE,NIFTY,0.0,2023-09-28,20000.0,0.05,50,PE,NFO-OPT,NFO
25,21986818,85886,NIFTY23SEP20100PE,NIFTY,0.0,2023-09-28,20100.0,0.05,50,PE,NFO-OPT,NFO
26,21988354,85892,NIFTY23SEP20200PE,NIFTY,0.0,2023-09-28,20200.0,0.05,50,PE,NFO-OPT,NFO
27,21989378,85896,NIFTY23SEP20300PE,NIFTY,0.0,2023-09-28,20300.0,0.05,50,PE,NFO-OPT,NFO
28,21990402,85900,NIFTY23SEP20400PE,NIFTY,0.0,2023-09-28,20400.0,0.05,50,PE,NFO-OPT,NFO
29,21991938,85906,NIFTY23SEP20500PE,NIFTY,0.0,2023-09-28,20500.0,0.05,50,PE,NFO-OPT,NFO
