,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,13648130,53313,NIFTY23MAR16700CE,NIFTY,0.0,2023-03-29,16700.0,0.05,50,CE,NFO-OPT,NFO
1,13649922,53320,NIFTY23MAR16750CE,NIFTY,0.0,2023-03-29,16750.0,0.05,50,CE,NFO-OPT,NFO
2,13650434,53322,NIFTY23MAR16800CE,NIFTY,0.0,2023-03-29,16800.0,0.05,50,CE,NFO-OPT,NFO
3,13652994,53332,NIFTY23MAR16850CE,NIFTY,0.0,2023-03-29,16850.0,0.05,50,CE,NFO-OPT,NFO
4,13653506,53334,NIFTY23MAR16900CE,NIFTY,0.0,2023-03-29,16900.0,0.05,50,CE,NFO-OPT,NFO
5,13654018,53336,NIFTY23MAR16950CE,NIFTY,0.0,2023-03-29,16950.0,0.05,50,CE,NFO-OPT,NFO
6,14661122,57270,NIFTY23MAR17000CE,NIFTY,0.0,2023-03-29,17000.0,0.05,50,CE,NFO-OPT,NFO
7,13654530,53338,NIFTY23MAR17050CE,NIFTY,0.0,2023-03-29,17050.0,0.05,50,CE,NFO-OPT,NFO
8,13655042,53340,NIFTY23MAR17100CE,NIFTY,0.0,2023-03-29,17100.0,0.05,50,CE,NFO-OPT,NFO
9,13655554,53342,NIFTY23MAR17150CE,NIFTY,0.0,2023-03-29,17150.0,0.05,50,CE,NFO-OPT,NFO
10,13656322,53345,NIFTY23MAR17200CE,NIFTY,0.0,2023-03-29,17200.0,0.05,50,CE,NFO-OPT,NFO
11,13656834,53347,NIFTY23MAR17250CE,NIFTY,0.0,2023-03-29,17250.0,0.05,50,CE,NFO-OPT,NFO
12,13657346,53349,NIFTY23MAR17300CE,NIFTY,0.0,2023-03-29,17300.0,0.05,50,CE,NFO-OPT,NFO
13,13659138,53356,NIFTY23MAR17350CE,NIFTY,0.0,2023-03-29,17350.0,0.05,50,CE,NFO-OPT,NFO
14,13659906,53359,NIFTY23MAR17400CE,NIFTY,0.0,2023-03-29,17400.0,0.05,50,CE,NFO-OPT,NFO
15,13660418,53361,NIFTY23MAR17450CE,NIFTY,0.0,2023-03-29,17450.0,0.05,50,CE,NFO-OPT,NFO
16,13661954,53367,NIFTY23MAR17500CE,NIFTY,0.0,2023-03-29,17500.0,0.05,50,CE,NFO-OPT,NFO
17,13664002,53375,NIFTY23MAR17550CE,NIFTY,0.0,2023-03-29,17550.0,0.05,50,CE,NFO-OPT,NFO
18,13664770,53378,NIFTY23MAR17600CE,NIFTY,0.0,2023-03-29,17600.0,0.05,50,CE,NFO-OPT,NFO
19,13665282,53380,NIFTY23MAR17650CE,NIFTY,0.0,2023-03-29,17650.0,0.05,50,CE,NFO-OPT,NFO
20,13666306,53384,NIFTY23MAR17700CE,NIFTY,0.0,2023-03-29,17700.0,0.05,50,CE,NFO-OPT,NFO
21,13666818,53386,NIFTY23MAR17750CE,NIFTY,0.0,2023-03-29,17750.0,0.05,50,CE,NFO-OPT,NFO
22,13667842,53390,NIFTY23MAR17800CE,NIFTY,0.0,2023-03-29,17800.0,0.05,50,CE,NFO-OPT,NFO
23,13668866,53394,NIFTY23MAR17850CE,NIFTY,0.0,2023-03-29,17850.0,0.05,50,CE,NFO-OPT,NFO
24,13669378,53396,NIFTY23MAR17900CE,NIFTY,0.0,2023-03-29,17900.0,0.05,50,CE,NFO-OPT,NFO
25,13669890,53398,NIFTY23MAR17950CE,NIFTY,0.0,2023-03-29,17950.0,0.05,50,CE,NFO-OPT,NFO
26,14661634,57272,NIFTY23MAR18000CE,NIFTY,0.0,2023-03-29,18000.0,0.05,50,CE,NFO-OPT,NFO
27,13670402,53400,NIFTY23MAR18050CE,NIFTY,0.0,2023-03-29,18050.0,0.05,50,CE,NFO-OPT,NFO
28,13670914,53402,NIFTY23MAR18100CE,NIFTY,0.0,2023-03-29,18100.0,0.05,50,CE,NFO-OPT,NFO
29,13671426,53404,NIFTY23MAR18150CE,NIFTY,0.0,2023-03-29,18150.0,0.05,50,CE,NFO-OPT,NFO
30,13671938,53406,NIFTY23MAR18200CE,NIFTY,0.0,2023-03-29,18200.0,0.05,50,CE,NFO-OPT,NFO
31,13672450,53408,NIFTY23MAR18250CE,NIFTY,0.0,2023-03-29,18250.0,0.05,50,CE,NFO-OPT,NFO
32,13672962,53410,NIFTY23MAR18300CE,NIFTY,0.0,2023-03-29,18300.0,0.05,50,CE,NFO-OPT,NFO
33,13673474,53412,NIFTY23MAR18350CE,NIFTY,0.0,2023-03-29,18350.0,0.05,50,CE,NFO-OPT,NFO
34,13673986,53414,NIFTY23MAR18400CE,NIFTY,0.0,2023-03-29,18400.0,0.05,50,CE,NFO-OPT,NFO
35,13674498,53416,NIFTY23MAR18450CE,NIFTY,0.0,2023-03-29,18450.0,0.05,50,CE,NFO-OPT,NFO
36,13675010,53418,NIFTY23MAR18500CE,NIFTY,0.0,2023-03-29,18500.0,0.05,50,CE,NFO-OPT,NFO
37,13675522,53420,NIFTY23MAR18550CE,NIFTY,0.0,2023-03-29,18550.0,0.05,50,CE,NFO-OPT,NFO
38,13676034,53422,NIFTY23MAR18600CE,NIFTY,0.0,2023-03-29,18600.0,0.05,50,CE,NFO-OPT,NFO
39,13676546,53424,NIFTY23MAR18650CE,NIFTY,0.0,2023-03-29,18650.0,0.05,50,CE,NFO-OPT,NFO
40,13677314,53427,NIFTY23MAR18700CE,NIFTY,0.0,2023-03-29,18700.0,0.05,50,CE,NFO-OPT,NFO
41,13679618,53436,NIFTY23MAR18750CE,NIFTY,0.0,2023-03-29,18750.0,0.05,50,CE,NFO-OPT,NFO
42,13680130,53438,NIFTY23MAR18800CE,NIFTY,0.0,2023-03-29,18800.0,0.05,50,CE,NFO-OPT,NFO
43,13680642,53440,NIFTY23MAR18850CE,NIFTY,0.0,2023-03-29,18850.0,0.05,50,CE,NFO-OPT,NFO
44,13681154,53442,NIFTY23MAR18900CE,NIFTY,0.0,2023-03-29,18900.0,0.05,50,CE,NFO-OPT,NFO
45,13681666,53444,NIFTY23MAR18950CE,NIFTY,0.0,2023-03-29,18950.0,0.05,50,CE,NFO-OPT,NFO
46,14662146,57274,NIFTY23MAR19000CE,NIFTY,0.0,2023-03-29,19000.0,0.05,50,CE,NFO-OPT,NFO
47,13682178,53446,NIFTY23MAR19050CE,NIFTY,0.0,2023-03-29,19050.0,0.05,50,CE,NFO-OPT,NFO
48,13682690,53448,NIFTY23MAR19100CE,NIFTY,0.0,2023-03-29,19100.0,0.05,50,CE,NFO-OPT,NFO
49,13683202,53450,NIFTY23MAR19150CE,NIFTY,0.0,2023-03-29,19150.0,0.05,50,CE,NFO-OPT,NFO
50,13683714,53452,NIFTY23MAR19200CE,NIFTY,0.0,2023-03-29,19200.0,0.05,50,CE,NFO-OPT,NFO
51,13684226,53454,NIFTY23MAR19250CE,NIFTY,0.0,2023-03-29,19250.0,0.05,50,CE,NFO-OPT,NFO
52,13684738,53456,NIFTY23MAR19300CE,NIFTY,0.0,2023-03-29,19300.0,0.05,50,CE,NFO-OPT,NFO
53,13685250,53458,NIFTY23MAR19350CE,NIFTY,0.0,2023-03-29,19350.0,0.05,50,CE,NFO-OPT,NFO
54,13685762,53460,NIFTY23MAR19400CE,NIFTY,0.0,2023-03-29,19400.0,0.05,50,CE,NFO-OPT,NFO
55,13686274,53462,NIFTY23MAR19450CE,NIFTY,0.0,2023-03-29,19450.0,0.05,50,CE,NFO-OPT,NFO
56,13688322,53470,NIFTY23MAR19500CE,NIFTY,0.0,2023-03-29,19500.0,0.05,50,CE,NFO-OPT,NFO
57,13688834,53472,NIFTY23MAR19550CE,NIFTY,0.0,2023-03-29,19550.0,0.05,50,CE,NFO-OPT,NFO
58,13689346,53474,NIFTY23MAR19600CE,NIFTY,0.0,2023-03-29,19600.0,0.05,50,CE,NFO-OPT,NFO
59,13689858,53476,NIFTY23MAR19650CE,NIFTY,0.0,2023-03-29,19650.0,0.05,50,CE,NFO-OPT,NFO
60,13690882,53480,NIFTY23MAR19700CE,NIFTY,0.0,2023-03-29,19700.0,0.05,50,CE,NFO-OPT,NFO
61,14662658,57276,NIFTY23MAR20000CE,NIFTY,0.0,2023-03-29,20000.0,0.05,50,CE,NFO-OPT,NFO
