,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,11298050,44133,NIFTY2310516400CE,NIFTY,0.0,2023-01-05,16400.0,0.05,50,CE,NFO-OPT,NFO
1,11298562,44135,NIFTY2310516450CE,NIFTY,0.0,2023-01-05,16450.0,0.05,50,CE,NFO-OPT,NFO
2,11299330,44138,NIFTY2310516500CE,NIFTY,0.0,2023-01-05,16500.0,0.05,50,CE,NFO-OPT,NFO
3,11304194,44157,NIFTY2310516550CE,NIFTY,0.0,2023-01-05,16550.0,0.05,50,CE,NFO-OPT,NFO
4,11304962,44160,NIFTY2310516600CE,NIFTY,0.0,2023-01-05,16600.0,0.05,50,CE,NFO-OPT,NFO
5,11306242,44165,NIFTY2310516650CE,NIFTY,0.0,2023-01-05,16650.0,0.05,50,CE,NFO-OPT,NFO
6,11306754,44167,NIFTY2310516700CE,NIFTY,0.0,2023-01-05,16700.0,0.05,50,CE,NFO-OPT,NFO
7,11307778,44171,NIFTY2310516750CE,NIFTY,0.0,2023-01-05,16750.0,0.05,50,CE,NFO-OPT,NFO
8,11311362,44185,NIFTY2310516800CE,NIFTY,0.0,2023-01-05,16800.0,0.05,50,CE,NFO-OPT,NFO
9,11312386,44189,NIFTY2310516850CE,NIFTY,0.0,2023-01-05,16850.0,0.05,50,CE,NFO-OPT,NFO
10,11313410,44193,NIFTY2310516900CE,NIFTY,0.0,2023-01-05,16900.0,0.05,50,CE,NFO-OPT,NFO
11,11315970,44203,NIFTY2310516950CE,NIFTY,0.0,2023-01-05,16950.0,0.05,50,CE,NFO-OPT,NFO
12,11316738,44206,NIFTY2310517000CE,NIFTY,0.0,2023-01-05,17000.0,0.05,50,CE,NFO-OPT,NFO
13,11317506,44209,NIFTY2310517050CE,NIFTY,0.0,2023-01-05,17050.0,0.05,50,CE,NFO-OPT,NFO
14,11320834,44222,NIFTY2310517100CE,NIFTY,0.0,2023-01-05,17100.0,0.05,50,CE,NFO-OPT,NFO
15,11325698,44241,NIFTY2310517150CE,NIFTY,0.0,2023-01-05,17150.0,0.05,50,CE,NFO-OPT,NFO
16,11326978,44246,NIFTY2310517200CE,NIFTY,0.0,2023-01-05,17200.0,0.05,50,CE,NFO-OPT,NFO
17,11334146,44274,NIFTY2310517250CE,NIFTY,0.0,2023-01-05,17250.0,0.05,50,CE,NFO-OPT,NFO
18,11334658,44276,NIFTY2310517300CE,NIFTY,0.0,2023-01-05,17300.0,0.05,50,CE,NFO-OPT,NFO
19,11338242,44290,NIFTY2310517350CE,NIFTY,0.0,2023-01-05,17350.0,0.05,50,CE,NFO-OPT,NFO
20,11342594,44307,NIFTY2310517400CE,NIFTY,0.0,2023-01-05,17400.0,0.05,50,CE,NFO-OPT,NFO
21,11351810,44343,NIFTY2310517450CE,NIFTY,0.0,2023-01-05,17450.0,0.05,50,CE,NFO-OPT,NFO
22,11352322,44345,NIFTY2310517500CE,NIFTY,0.0,2023-01-05,17500.0,0.05,50,CE,NFO-OPT,NFO
23,11355394,44357,NIFTY2310517550CE,NIFTY,0.0,2023-01-05,17550.0,0.05,50,CE,NFO-OPT,NFO
24,11359746,44374,NIFTY2310517600CE,NIFTY,0.0,2023-01-05,17600.0,0.05,50,CE,NFO-OPT,NFO
25,11361026,44379,NIFTY2310517650CE,NIFTY,0.0,2023-01-05,17650.0,0.05,50,CE,NFO-OPT,NFO
26,11363842,44390,NIFTY2310517700CE,NIFTY,0.0,2023-01-05,17700.0,0.05,50,CE,NFO-OPT,NFO
27,11365122,44395,NIFTY2310517750CE,NIFTY,0.0,2023-01-05,17750.0,0.05,50,CE,NFO-OPT,NFO
28,11365890,44398,NIFTY2310517800CE,NIFTY,0.0,2023-01-05,17800.0,0.05,50,CE,NFO-OPT,NFO
29,11366914,44402,NIFTY2310517850CE,NIFTY,0.0,2023-01-05,17850.0,0.05,50,CE,NFO-OPT,NFO
30,11368706,44409,NIFTY2310517900CE,NIFTY,0.0,2023-01-05,17900.0,0.05,50,CE,NFO-OPT,NFO
31,11371522,44420,NIFTY2310517950CE,NIFTY,0.0,2023-01-05,17950.0,0.05,50,CE,NFO-OPT,NFO
32,11375106,44434,NIFTY2310518000CE,NIFTY,0.0,2023-01-05,18000.0,0.05,50,CE,NFO-OPT,NFO
33,11379714,44452,NIFTY2310518050CE,NIFTY,0.0,2023-01-05,18050.0,0.05,50,CE,NFO-OPT,NFO
34,11382786,44464,NIFTY2310518100CE,NIFTY,0.0,2023-01-05,18100.0,0.05,50,CE,NFO-OPT,NFO
35,11383810,44468,NIFTY2310518150CE,NIFTY,0.0,2023-01-05,18150.0,0.05,50,CE,NFO-OPT,NFO
36,11384834,44472,NIFTY2310518200CE,NIFTY,0.0,2023-01-05,18200.0,0.05,50,CE,NFO-OPT,NFO
37,11390210,44493,NIFTY2310518250CE,NIFTY,0.0,2023-01-05,18250.0,0.05,50,CE,NFO-OPT,NFO
38,11390722,44495,NIFTY2310518300CE,NIFTY,0.0,2023-01-05,18300.0,0.05,50,CE,NFO-OPT,NFO
39,11394050,44508,NIFTY2310518350CE,NIFTY,0.0,2023-01-05,18350.0,0.05,50,CE,NFO-OPT,NFO
40,11396098,44516,NIFTY2310518400CE,NIFTY,0.0,2023-01-05,18400.0,0.05,50,CE,NFO-OPT,NFO
41,11396610,44518,NIFTY2310518450CE,NIFTY,0.0,2023-01-05,18450.0,0.05,50,CE,NFO-OPT,NFO
42,11397122,44520,NIFTY2310518500CE,NIFTY,0.0,2023-01-05,18500.0,0.05,50,CE,NFO-OPT,NFO
43,11403266,44544,NIFTY2310518550CE,NIFTY,0.0,2023-01-05,18550.0,0.05,50,CE,NFO-OPT,NFO
44,11404802,44550,NIFTY2310518600CE,NIFTY,0.0,2023-01-05,18600.0,0.05,50,CE,NFO-OPT,NFO
45,11406594,44557,NIFTY2310518650CE,NIFTY,0.0,2023-01-05,18650.0,0.05,50,CE,NFO-OPT,NFO
46,11407106,44559,NIFTY2310518700CE,NIFTY,0.0,2023-01-05,18700.0,0.05,50,CE,NFO-OPT,NFO
47,11407618,44561,NIFTY2310518750CE,NIFTY,0.0,2023-01-05,18750.0,0.05,50,CE,NFO-OPT,NFO
