,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14681346,57349,NIFTY2350416400PE,NIFTY,0.0,2023-05-04,16400.0,0.05,50,PE,NFO-OPT,NFO
1,14683394,57357,NIFTY2350416500PE,NIFTY,0.0,2023-05-04,16500.0,0.05,50,PE,NFO-OPT,NFO
2,14685442,57365,NIFTY2350416600PE,NIFTY,0.0,2023-05-04,16600.0,0.05,50,PE,NFO-OPT,NFO
3,14691074,57387,NIFTY2350416700PE,NIFTY,0.0,2023-05-04,16700.0,0.05,50,PE,NFO-OPT,NFO
4,14695170,57403,NIFTY2350416800PE,NIFTY,0.0,2023-05-04,16800.0,0.05,50,PE,NFO-OPT,NFO
5,14696194,57407,NIFTY2350416900PE,NIFTY,0.0,2023-05-04,16900.0,0.05,50,PE,NFO-OPT,NFO
6,14699010,57418,NIFTY2350417000PE,NIFTY,0.0,2023-05-04,17000.0,0.05,50,PE,NFO-OPT,NFO
7,14702082,57430,NIFTY2350417100PE,NIFTY,0.0,2023-05-04,17100.0,0.05,50,PE,NFO-OPT,NFO
8,14703106,57434,NIFTY2350417200PE,NIFTY,0.0,2023-05-04,17200.0,0.05,50,PE,NFO-OPT,NFO
9,14740226,57579,NIFTY2350417300PE,NIFTY,0.0,2023-05-04,17300.0,0.05,50,PE,NFO-OPT,NFO
10,14742274,57587,NIFTY2350417400PE,NIFTY,0.0,2023-05-04,17400.0,0.05,50,PE,NFO-OPT,NFO
11,14744322,57595,NIFTY2350417500PE,NIFTY,0.0,2023-05-04,17500.0,0.05,50,PE,NFO-OPT,NFO
12,14747394,57607,NIFTY2350417600PE,NIFTY,0.0,2023-05-04,17600.0,0.05,50,PE,NFO-OPT,NFO
13,14750466,57619,NIFTY2350417700PE,NIFTY,0.0,2023-05-04,17700.0,0.05,50,PE,NFO-OPT,NFO
14,14753538,57631,NIFTY2350417800PE,NIFTY,0.0,2023-05-04,17800.0,0.05,50,PE,NFO-OPT,NFO
15,14756098,57641,NIFTY2350417900PE,NIFTY,0.0,2023-05-04,17900.0,0.05,50,PE,NFO-OPT,NFO
16,15023362,58685,NIFTY2350418000PE,NIFTY,0.0,2023-05-04,18000.0,0.05,50,PE,NFO-OPT,NFO
17,15024386,58689,NIFTY2350418100PE,NIFTY,0.0,2023-05-04,18100.0,0.05,50,PE,NFO-OPT,NFO
18,15025410,58693,NIFTY2350418200PE,NIFTY,0.0,2023-05-04,18200.0,0.05,50,PE,NFO-OPT,NFO
19,15026434,58697,NIFTY2350418300PE,NIFTY,0.0,2023-05-04,18300.0,0.05,50,PE,NFO-OPT,NFO
20,15027458,58701,NIFTY2350418400PE,NIFTY,0.0,2023-05-04,18400.0,0.05,50,PE,NFO-OPT,NFO
21,15028482,58705,NIFTY2350418500PE,NIFTY,0.0,2023-05-04,18500.0,0.05,50,PE,NFO-OPT,NFO
22,15029506,58709,NIFTY2350418600PE,NIFTY,0.0,2023-05-04,18600.0,0.05,50,PE,NFO-OPT,NFO
23,15030530,58713,NIFTY2350418700PE,NIFTY,0.0,2023-05-04,18700.0,0.05,50,PE,NFO-OPT,NFO
24,15031554,58717,NIFTY2350418800PE,NIFTY,0.0,2023-05-04,18800.0,0.05,50,PE,NFO-OPT,NFO
25,15032578,58721,NIFTY2350418900PE,NIFTY,0.0,2023-05-04,18900.0,0.05,50,PE,NFO-OPT,NFO
26,15033602,58725,NIFTY2350419000PE,NIFTY,0.0,2023-05-04,19000.0,0.05,50,PE,NFO-OPT,NFO
27,15034626,58729,NIFTY2350419100PE,NIFTY,0.0,2023-05-04,19100.0,0.05,50,PE,NFO-OPT,NFO
28,15035650,58733,NIFTY2350419200PE,NIFTY,0.0,2023-05-04,19200.0,0.05,50,PE,NFO-OPT,NFO
29,15036674,58737,NIFTY2350419300PE,NIFTY,0.0,2023-05-04,19300.0,0.05,50,PE,NFO-OPT,NFO
30,15037698,58741,NIFTY2350419400PE,NIFTY,0.0,2023-05-04,19400.0,0.05,50,PE,NFO-OPT,NFO
31,15038722,58745,NIFTY2350419500PE,NIFTY,0.0,2023-05-04,19500.0,0.05,50,PE,NFO-OPT,NFO
32,15039746,58749,NIFTY2350419600PE,NIFTY,0.0,2023-05-04,19600.0,0.05,50,PE,NFO-OPT,NFO
