,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14740226,57579,NIFTY2362216800CE,NIFTY,0.0,2023-06-22,16800.0,0.05,50,CE,NFO-OPT,NFO
1,14741762,57585,NIFTY2362216900CE,NIFTY,0.0,2023-06-22,16900.0,0.05,50,CE,NFO-OPT,NFO
2,14742786,57589,NIFTY2362217000CE,NIFTY,0.0,2023-06-22,17000.0,0.05,50,CE,NFO-OPT,NFO
3,14744322,57595,NIFTY2362217100CE,NIFTY,0.0,2023-06-22,17100.0,0.05,50,CE,NFO-OPT,NFO
4,14745858,57601,NIFTY2362217200CE,NIFTY,0.0,2023-06-22,17200.0,0.05,50,CE,NFO-OPT,NFO
5,14747394,57607,NIFTY2362217300CE,NIFTY,0.0,2023-06-22,17300.0,0.05,50,CE,NFO-OPT,NFO
6,14748930,57613,NIFTY2362217400CE,NIFTY,0.0,2023-06-22,17400.0,0.05,50,CE,NFO-OPT,NFO
7,14749954,57617,NIFTY2362217500CE,NIFTY,0.0,2023-06-22,17500.0,0.05,50,CE,NFO-OPT,NFO
8,14751490,57623,NIFTY2362217600CE,NIFTY,0.0,2023-06-22,17600.0,0.05,50,CE,NFO-OPT,NFO
9,14753026,57629,NIFTY2362217700CE,NIFTY,0.0,2023-06-22,17700.0,0.05,50,CE,NFO-OPT,NFO
10,14754562,57635,NIFTY2362217800CE,NIFTY,0.0,2023-06-22,17800.0,0.05,50,CE,NFO-OPT,NFO
11,14755586,57639,NIFTY2362217900CE,NIFTY,0.0,2023-06-22,17900.0,0.05,50,CE,NFO-OPT,NFO
12,14756610,57643,NIFTY2362218000CE,NIFTY,0.0,2023-06-22,18000.0,0.05,50,CE,NFO-OPT,NFO
13,14757634,57647,NIFTY2362218100CE,NIFTY,0.0,2023-06-22,18100.0,0.05,50,CE,NFO-OPT,NFO
14,14758658,57651,NIFTY2362218200CE,NIFTY,0.0,2023-06-22,18200.0,0.05,50,CE,NFO-OPT,NFO
15,14759682,57655,NIFTY2362218300CE,NIFTY,0.0,2023-06-22,18300.0,0.05,50,CE,NFO-OPT,NFO
16,14760706,57659,NIFTY2362218400CE,NIFTY,0.0,2023-06-22,18400.0,0.05,50,CE,NFO-OPT,NFO
17,14761730,57663,NIFTY2362218500CE,NIFTY,0.0,2023-06-22,18500.0,0.05,50,CE,NFO-OPT,NFO
18,14762754,57667,NIFTY2362218600CE,NIFTY,0.0,2023-06-22,18600.0,0.05,50,CE,NFO-OPT,NFO
19,14763778,57671,NIFTY2362218700CE,NIFTY,0.0,2023-06-22,18700.0,0.05,50,CE,NFO-OPT,NFO
20,14764802,57675,NIFTY2362218800CE,NIFTY,0.0,2023-06-22,18800.0,0.05,50,CE,NFO-OPT,NFO
21,14765826,57679,NIFTY2362218900CE,NIFTY,0.0,2023-06-22,18900.0,0.05,50,CE,NFO-OPT,NFO
22,14766850,57683,NIFTY2362219000CE,NIFTY,0.0,2023-06-22,19000.0,0.05,50,CE,NFO-OPT,NFO
23,14767874,57687,NIFTY2362219100CE,NIFTY,0.0,2023-06-22,19100.0,0.05,50,CE,NFO-OPT,NFO
24,14768898,57691,NIFTY2362219200CE,NIFTY,0.0,2023-06-22,19200.0,0.05,50,CE,NFO-OPT,NFO
25,14769922,57695,NIFTY2362219300CE,NIFTY,0.0,2023-06-22,19300.0,0.05,50,CE,NFO-OPT,NFO
26,14770946,57699,NIFTY2362219400CE,NIFTY,0.0,2023-06-22,19400.0,0.05,50,CE,NFO-OPT,NFO
27,14771970,57703,NIFTY2362219500CE,NIFTY,0.0,2023-06-22,19500.0,0.05,50,CE,NFO-OPT,NFO
28,14775554,57717,NIFTY2362219600CE,NIFTY,0.0,2023-06-22,19600.0,0.05,50,CE,NFO-OPT,NFO
29,14778626,57729,NIFTY2362219700CE,NIFTY,0.0,2023-06-22,19700.0,0.05,50,CE,NFO-OPT,NFO
30,14788866,57769,NIFTY2362219800CE,NIFTY,0.0,2023-06-22,19800.0,0.05,50,CE,NFO-OPT,NFO
31,14789890,57773,NIFTY2362219900CE,NIFTY,0.0,2023-06-22,19900.0,0.05,50,CE,NFO-OPT,NFO
32,14790914,57777,NIFTY2362220000CE,NIFTY,0.0,2023-06-22,20000.0,0.05,50,CE,NFO-OPT,NFO
33,14795266,57794,NIFTY2362220100CE,NIFTY,0.0,2023-06-22,20100.0,0.05,50,CE,NFO-OPT,NFO
34,14798850,57808,NIFTY2362220200CE,NIFTY,0.0,2023-06-22,20200.0,0.05,50,CE,NFO-OPT,NFO
