,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14267394,55732,NIFTY23JAN16400PE,NIFTY,0.0,2023-01-25,16400.0,0.05,50,PE,NFO-OPT,NFO
1,14272002,55750,NIFTY23JAN16450PE,NIFTY,0.0,2023-01-25,16450.0,0.05,50,PE,NFO-OPT,NFO
2,14272514,55752,NIFTY23JAN16500PE,NIFTY,0.0,2023-01-25,16500.0,0.05,50,PE,NFO-OPT,NFO
3,14273026,55754,NIFTY23JAN16550PE,NIFTY,0.0,2023-01-25,16550.0,0.05,50,PE,NFO-OPT,NFO
4,14273538,55756,NIFTY23JAN16600PE,NIFTY,0.0,2023-01-25,16600.0,0.05,50,PE,NFO-OPT,NFO
5,14274050,55758,NIFTY23JAN16650PE,NIFTY,0.0,2023-01-25,16650.0,0.05,50,PE,NFO-OPT,NFO
6,14274562,55760,NIFTY23JAN16700PE,NIFTY,0.0,2023-01-25,16700.0,0.05,50,PE,NFO-OPT,NFO
7,14278658,55776,NIFTY23JAN16750PE,NIFTY,0.0,2023-01-25,16750.0,0.05,50,PE,NFO-OPT,NFO
8,14280194,55782,NIFTY23JAN16800PE,NIFTY,0.0,2023-01-25,16800.0,0.05,50,PE,NFO-OPT,NFO
9,14281730,55788,NIFTY23JAN16850PE,NIFTY,0.0,2023-01-25,16850.0,0.05,50,PE,NFO-OPT,NFO
10,14282242,55790,NIFTY23JAN16900PE,NIFTY,0.0,2023-01-25,16900.0,0.05,50,PE,NFO-OPT,NFO
11,14283266,55794,NIFTY23JAN16950PE,NIFTY,0.0,2023-01-25,16950.0,0.05,50,PE,NFO-OPT,NFO
12,14283778,55796,NIFTY23JAN17000PE,NIFTY,0.0,2023-01-25,17000.0,0.05,50,PE,NFO-OPT,NFO
13,14284802,55800,NIFTY23JAN17050PE,NIFTY,0.0,2023-01-25,17050.0,0.05,50,PE,NFO-OPT,NFO
14,14285826,55804,NIFTY23JAN17100PE,NIFTY,0.0,2023-01-25,17100.0,0.05,50,PE,NFO-OPT,NFO
15,14286338,55806,NIFTY23JAN17150PE,NIFTY,0.0,2023-01-25,17150.0,0.05,50,PE,NFO-OPT,NFO
16,14288386,55814,NIFTY23JAN17200PE,NIFTY,0.0,2023-01-25,17200.0,0.05,50,PE,NFO-OPT,NFO
17,14289922,55820,NIFTY23JAN17250PE,NIFTY,0.0,2023-01-25,17250.0,0.05,50,PE,NFO-OPT,NFO
18,14291458,55826,NIFTY23JAN17300PE,NIFTY,0.0,2023-01-25,17300.0,0.05,50,PE,NFO-OPT,NFO
19,14292482,55830,NIFTY23JAN17350PE,NIFTY,0.0,2023-01-25,17350.0,0.05,50,PE,NFO-OPT,NFO
20,14295554,55842,NIFTY23JAN17400PE,NIFTY,0.0,2023-01-25,17400.0,0.05,50,PE,NFO-OPT,NFO
21,14296066,55844,NIFTY23JAN17450PE,NIFTY,0.0,2023-01-25,17450.0,0.05,50,PE,NFO-OPT,NFO
22,14296578,55846,NIFTY23JAN17500PE,NIFTY,0.0,2023-01-25,17500.0,0.05,50,PE,NFO-OPT,NFO
23,14300674,55862,NIFTY23JAN17550PE,NIFTY,0.0,2023-01-25,17550.0,0.05,50,PE,NFO-OPT,NFO
24,14301186,55864,NIFTY23JAN17600PE,NIFTY,0.0,2023-01-25,17600.0,0.05,50,PE,NFO-OPT,NFO
25,14301698,55866,NIFTY23JAN17650PE,NIFTY,0.0,2023-01-25,17650.0,0.05,50,PE,NFO-OPT,NFO
26,14302210,55868,NIFTY23JAN17700PE,NIFTY,0.0,2023-01-25,17700.0,0.05,50,PE,NFO-OPT,NFO
27,14305538,55881,NIFTY23JAN17750PE,NIFTY,0.0,2023-01-25,17750.0,0.05,50,PE,NFO-OPT,NFO
28,14307074,55887,NIFTY23JAN17800PE,NIFTY,0.0,2023-01-25,17800.0,0.05,50,PE,NFO-OPT,NFO
29,14307586,55889,NIFTY23JAN17850PE,NIFTY,0.0,2023-01-25,17850.0,0.05,50,PE,NFO-OPT,NFO
30,14308098,55891,NIFTY23JAN17900PE,NIFTY,0.0,2023-01-25,17900.0,0.05,50,PE,NFO-OPT,NFO
31,14308610,55893,NIFTY23JAN17950PE,NIFTY,0.0,2023-01-25,17950.0,0.05,50,PE,NFO-OPT,NFO
32,14309122,55895,NIFTY23JAN18000PE,NIFTY,0.0,2023-01-25,18000.0,0.05,50,PE,NFO-OPT,NFO
33,14309634,55897,NIFTY23JAN18050PE,NIFTY,0.0,2023-01-25,18050.0,0.05,50,PE,NFO-OPT,NFO
34,14310146,55899,NIFTY23JAN18100PE,NIFTY,0.0,2023-01-25,18100.0,0.05,50,PE,NFO-OPT,NFO
35,14310658,55901,NIFTY23JAN18150PE,NIFTY,0.0,2023-01-25,18150.0,0.05,50,PE,NFO-OPT,NFO
36,14311170,55903,NIFTY23JAN18200PE,NIFTY,0.0,2023-01-25,18200.0,0.05,50,PE,NFO-OPT,NFO
37,14311682,55905,NIFTY23JAN18250PE,NIFTY,0.0,2023-01-25,18250.0,0.05,50,PE,NFO-OPT,NFO
38,14312194,55907,NIFTY23JAN18300PE,NIFTY,0.0,2023-01-25,18300.0,0.05,50,PE,NFO-OPT,NFO
39,14313218,55911,NIFTY23JAN18350PE,NIFTY,0.0,2023-01-25,18350.0,0.05,50,PE,NFO-OPT,NFO
40,14313730,55913,NIFTY23JAN18400PE,NIFTY,0.0,2023-01-25,18400.0,0.05,50,PE,NFO-OPT,NFO
41,14314242,55915,NIFTY23JAN18450PE,NIFTY,0.0,2023-01-25,18450.0,0.05,50,PE,NFO-OPT,NFO
42,14314754,55917,NIFTY23JAN18500PE,NIFTY,0.0,2023-01-25,18500.0,0.05,50,PE,NFO-OPT,NFO
43,14315266,55919,NIFTY23JAN18550PE,NIFTY,0.0,2023-01-25,18550.0,0.05,50,PE,NFO-OPT,NFO
44,14315778,55921,NIFTY23JAN18600PE,NIFTY,0.0,2023-01-25,18600.0,0.05,50,PE,NFO-OPT,NFO
45,14316290,55923,NIFTY23JAN18650PE,NIFTY,0.0,2023-01-25,18650.0,0.05,50,PE,NFO-OPT,NFO
46,14316802,55925,NIFTY23JAN18700PE,NIFTY,0.0,2023-01-25,18700.0,0.05,50,PE,NFO-OPT,NFO
47,14317314,55927,NIFTY23JAN18750PE,NIFTY,0.0,2023-01-25,18750.0,0.05,50,PE,NFO-OPT,NFO
48,14318082,55930,NIFTY23JAN18800PE,NIFTY,0.0,2023-01-25,18800.0,0.05,50,PE,NFO-OPT,NFO
49,14322946,55949,NIFTY23JAN18850PE,NIFTY,0.0,2023-01-25,18850.0,0.05,50,PE,NFO-OPT,NFO
50,14323458,55951,NIFTY23JAN18900PE,NIFTY,0.0,2023-01-25,18900.0,0.05,50,PE,NFO-OPT,NFO
51,14323970,55953,NIFTY23JAN18950PE,NIFTY,0.0,2023-01-25,18950.0,0.05,50,PE,NFO-OPT,NFO
52,14324994,55957,NIFTY23JAN19000PE,NIFTY,0.0,2023-01-25,19000.0,0.05,50,PE,NFO-OPT,NFO
53,14326018,55961,NIFTY23JAN19050PE,NIFTY,0.0,2023-01-25,19050.0,0.05,50,PE,NFO-OPT,NFO
54,14326530,55963,NIFTY23JAN19100PE,NIFTY,0.0,2023-01-25,19100.0,0.05,50,PE,NFO-OPT,NFO
55,14327042,55965,NIFTY23JAN19150PE,NIFTY,0.0,2023-01-25,19150.0,0.05,50,PE,NFO-OPT,NFO
56,14327554,55967,NIFTY23JAN19200PE,NIFTY,0.0,2023-01-25,19200.0,0.05,50,PE,NFO-OPT,NFO
57,14328066,55969,NIFTY23JAN19250PE,NIFTY,0.0,2023-01-25,19250.0,0.05,50,PE,NFO-OPT,NFO
58,14328578,55971,NIFTY23JAN19300PE,NIFTY,0.0,2023-01-25,19300.0,0.05,50,PE,NFO-OPT,NFO
59,14329090,55973,NIFTY23JAN19350PE,NIFTY,0.0,2023-01-25,19350.0,0.05,50,PE,NFO-OPT,NFO
60,14330882,55980,NIFTY23JAN19400PE,NIFTY,0.0,2023-01-25,19400.0,0.05,50,PE,NFO-OPT,NFO
61,14331394,55982,NIFTY23JAN19450PE,NIFTY,0.0,2023-01-25,19450.0,0.05,50,PE,NFO-OPT,NFO
62,14331906,55984,NIFTY23JAN19500PE,NIFTY,0.0,2023-01-25,19500.0,0.05,50,PE,NFO-OPT,NFO
63,14332930,55988,NIFTY23JAN19550PE,NIFTY,0.0,2023-01-25,19550.0,0.05,50,PE,NFO-OPT,NFO
64,14334722,55995,NIFTY23JAN19600PE,NIFTY,0.0,2023-01-25,19600.0,0.05,50,PE,NFO-OPT,NFO
65,14335234,55997,NIFTY23JAN19650PE,NIFTY,0.0,2023-01-25,19650.0,0.05,50,PE,NFO-OPT,NFO
66,14335746,55999,NIFTY23JAN19700PE,NIFTY,0.0,2023-01-25,19700.0,0.05,50,PE,NFO-OPT,NFO
67,14336258,56001,NIFTY23JAN19750PE,NIFTY,0.0,2023-01-25,19750.0,0.05,50,PE,NFO-OPT,NFO
68,14336770,56003,NIFTY23JAN19800PE,NIFTY,0.0,2023-01-25,19800.0,0.05,50,PE,NFO-OPT,NFO
69,14337282,56005,NIFTY23JAN19850PE,NIFTY,0.0,2023-01-25,19850.0,0.05,50,PE,NFO-OPT,NFO
70,14337794,56007,NIFTY23JAN19900PE,NIFTY,0.0,2023-01-25,19900.0,0.05,50,PE,NFO-OPT,NFO
71,14338306,56009,NIFTY23JAN19950PE,NIFTY,0.0,2023-01-25,19950.0,0.05,50,PE,NFO-OPT,NFO
72,14338818,56011,NIFTY23JAN20000PE,NIFTY,0.0,2023-01-25,20000.0,0.05,50,PE,NFO-OPT,NFO
