Timestamp,Python CPU Percentage,Uvicorn CPU Percentage,Python Memory Percentage,Uvicorn Memory Percentage
17:13:25,"(0.0, 0)","(6.882339814220759, 0)"
17:13:26,"(2.9, 0)","(6.882339814220759, 0)"
17:13:27,"(2.0, 0)","(6.882339814220759, 0)"
17:13:28,"(2.0, 0)","(6.882339814220759, 0)"
17:13:29,"(2.0, 0)","(6.882339814220759, 0)"
17:13:30,"(2.0, 0)","(6.882339814220759, 0)"
17:13:31,"(2.9, 0)","(6.888915012572576, 0)"
17:13:32,"(1.0, 0)","(6.888915012572576, 0)"
17:13:33,"(2.9, 0)","(6.888915012572576, 0)"
17:13:34,"(2.0, 0)","(6.888915012572576, 0)"
17:13:35,"(2.0, 0)","(6.888915012572576, 0)"
17:13:37,"(2.0, 0)","(6.888915012572576, 0)"
17:13:38,"(2.9, 0)","(6.888915012572576, 0)"
17:13:39,"(2.0, 0)","(6.888915012572576, 0)"
17:13:40,"(3.0, 0)","(6.888915012572576, 0)"
17:13:41,"(2.0, 0)","(6.888915012572576, 0)"
17:13:42,"(2.0, 0)","(6.888915012572576, 0)"
17:13:43,"(2.0, 0)","(6.888915012572576, 0)"
17:13:44,"(2.0, 0)","(6.888915012572576, 0)"
17:13:45,"(2.9, 0)","(6.888915012572576, 0)"
17:13:46,"(1.0, 0)","(6.888915012572576, 0)"
17:13:47,"(2.0, 0)","(6.888915012572576, 0)"
17:13:48,"(2.9, 0)","(6.888915012572576, 0)"
17:13:49,"(2.0, 0)","(6.888915012572576, 0)"
17:13:50,"(2.0, 0)","(6.888915012572576, 0)"
17:13:51,"(2.9, 0)","(6.888915012572576, 0)"
17:13:52,"(2.0, 0)","(6.888915012572576, 0)"
17:13:53,"(2.9, 0)","(6.888915012572576, 0)"
17:13:54,"(2.0, 0)","(6.888915012572576, 0)"
17:13:55,"(2.0, 0)","(6.888915012572576, 0)"
17:13:56,"(2.0, 0)","(6.888915012572576, 0)"
17:13:57,"(2.9, 0)","(6.888915012572576, 0)"
17:13:58,"(2.0, 0)","(6.888915012572576, 0)"
17:13:59,"(2.0, 0)","(6.888915012572576, 0)"
17:14:00,"(2.0, 0)","(6.888915012572576, 0)"
17:14:01,"(2.9, 0)","(6.888915012572576, 0)"
17:14:02,"(2.0, 0)","(6.888915012572576, 0)"
17:14:03,"(1.0, 0)","(6.888915012572576, 0)"
17:14:04,"(2.9, 0)","(6.888915012572576, 0)"
17:14:05,"(3.0, 0)","(6.888915012572576, 0)"
17:14:06,"(2.9, 0)","(6.888915012572576, 0)"
17:14:07,"(1.0, 0)","(6.888915012572576, 0)"
17:14:08,"(2.9, 0)","(6.888915012572576, 0)"
17:14:09,"(2.0, 0)","(6.888915012572576, 0)"
17:14:10,"(2.0, 0)","(6.888915012572576, 0)"
17:14:11,"(2.0, 0)","(6.888915012572576, 0)"
17:14:12,"(2.0, 0)","(6.888915012572576, 0)"
17:14:13,"(2.0, 0)","(6.888915012572576, 0)"
17:14:14,"(2.0, 0)","(6.888915012572576, 0)"
17:14:15,"(2.9, 0)","(6.888915012572576, 0)"
17:14:16,"(1.0, 0)","(6.888915012572576, 0)"
17:14:17,"(3.9, 0)","(6.888915012572576, 0)"
17:14:18,"(2.0, 0)","(6.888915012572576, 0)"
17:14:19,"(2.0, 0)","(6.888915012572576, 0)"
17:14:20,"(2.9, 0)","(6.888915012572576, 0)"
17:14:22,"(2.0, 0)","(6.888915012572576, 0)"
17:14:23,"(2.0, 0)","(6.888915012572576, 0)"
17:14:24,"(2.0, 0)","(6.888915012572576, 0)"
17:14:25,"(2.0, 0)","(6.888915012572576, 0)"
17:14:26,"(2.0, 0)","(6.888915012572576, 0)"
17:14:27,"(2.9, 0)","(6.888915012572576, 0)"
17:14:28,"(1.0, 0)","(6.888915012572576, 0)"
17:14:29,"(2.9, 0)","(6.888915012572576, 0)"
17:14:30,"(2.0, 0)","(6.888915012572576, 0)"
17:14:31,"(3.0, 0)","(6.888915012572576, 0)"
17:14:32,"(2.0, 0)","(6.888915012572576, 0)"
17:14:33,"(2.9, 0)","(6.888915012572576, 0)"
17:14:34,"(2.0, 0)","(6.888915012572576, 0)"
17:14:35,"(1.0, 0)","(6.888915012572576, 0)"
17:14:36,"(2.9, 0)","(6.888915012572576, 0)"
17:14:37,"(2.0, 0)","(9.19262541692735, 0)"
17:14:38,"(32.3, 0)","(9.81398166117405, 0)"
